Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Settlement,Esslingen,,48.74251108,9.314251595,816.0099281,,,City Update 6 - Southwest Germany,,,,
Airport,Friedrichschafen Airport,EDNY,47.67129478,9.511994724,1348.905231,,,City Update 6 - Southwest Germany,,,,
Settlement,Heidelburg,,49.39897418,8.673135831,365.7110837,,,City Update 6 - Southwest Germany,,,,
Settlement,Insel Mainau,,47.70548254,9.195738104,1387.035484,,,City Update 6 - Southwest Germany,,,,
Settlement,Karlsruhe,,49.00611853,8.40158239,377.9306558,,,City Update 6 - Southwest Germany,,,,
Settlement,Kehl,,48.58496564,7.816336859,455.7360898,,,City Update 6 - Southwest Germany,,,,
Landform,Lake Constance,,47.60745119,9.427549835,1299.21264,,,City Update 6 - Southwest Germany,,,,
Settlement,Mannheim,,49.48400547,8.475691643,316.1816435,,,City Update 6 - Southwest Germany,,,,
Settlement,Sankt Peter,,48.01771934,8.035880266,2357.471772,,,City Update 6 - Southwest Germany,,,,
Settlement,Strasbourg,,48.57288617,7.755640912,463.5463573,,,City Update 6 - Southwest Germany,,,,
Settlement,Stuttgart,,48.77641141,9.184320923,821.3032462,,,City Update 6 - Southwest Germany,,,,
