Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Building,Allegiant Stadium,,36.09104035,-115.1833279,2182.426422,,,City Update 8 - Las Vegas,,,,
Building,Bellagio,,36.1128501,-115.1739464,2114.911285,,,City Update 8 - Las Vegas,,,,
Settlement,Boulder City,,35.97728239,-114.8343554,2490.652369,,,City Update 8 - Las Vegas,,,,
Settlement,Downtown Las Vegas,,36.16934559,-115.149566,2030.854578,,,City Update 8 - Las Vegas,,,,
Building,Excalibur Hotel Casino,,36.09895998,-115.1754629,2136.932201,,,City Update 8 - Las Vegas,,,,
Landform,Frenchman Mountain,,36.18002751,-114.9977665,3819.952659,,,City Update 8 - Las Vegas,,,,
Building,Hoover Dam Bridge,,36.012533,-114.741422,717.5121387,,,City Update 8 - Las Vegas,,,,
Landform,Las Vegas Lake,,36.11886822,-114.9152004,1407.004874,,,City Update 8 - Las Vegas,,,,
Building,Linq Promenade,,36.11821133,-115.1708865,2100.422043,,,City Update 8 - Las Vegas,,,,
Building,Luxor Las Vegas,,36.09564811,-115.1760724,2147.867867,,,City Update 8 - Las Vegas,,,,
Building,MGM Grand,,36.10382946,-115.1676182,2106.846554,,,City Update 8 - Las Vegas,,,,
Building,New York New York Hotel,,36.10232069,-115.1743753,2126.743255,,,City Update 8 - Las Vegas,,,,
Landform,Red Rock Canyon,,36.19458001,-115.4383386,5406.042157,,,City Update 8 - Las Vegas,,,,
Building,Rio Convention Centre,,36.11773062,-115.1880086,2155.187881,,,City Update 8 - Las Vegas,,,,
Park,Southern Highlands Golf Club,,35.97238583,-115.1936105,2420.267898,,,City Update 8 - Las Vegas,,,,
Building,Sphere,,36.12128844,-115.1620429,2069.052014,,,City Update 8 - Las Vegas,,,,
Building,Stratosphere Tower,,36.14764325,-115.1567022,2039.054275,,,City Update 8 - Las Vegas,,,,
Settlement,Sunrise Manor,,36.21258625,-115.0690159,1821.153754,,,City Update 8 - Las Vegas,,,,
Building,The Mirage Hotel,,36.12130641,-115.1752832,2108.838006,,,City Update 8 - Las Vegas,,,,
Park,Wynn Golf Club,,36.12588562,-115.159171,2058.512235,,,City Update 8 - Las Vegas,,,,
