Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Settlement,Aachen,,50.7753455,6.0838868,559.8349763,,,Core Sim - Photogrammetry,,,,
Settlement,Abington,,40.1198332,-75.1253492,346.3745979,,,Core Sim - Photogrammetry,,,,
Settlement,Agua Caliente,,38.3240804,-122.4880366,158.3154609,,,Core Sim - Photogrammetry,,,,
Settlement,Aix-en-Provence,,43.529742,5.447427,658.2182747,,,Core Sim - Photogrammetry,,,,
Settlement,Albuquerque,,35.0843859,-106.650422,4954.065997,,,Core Sim - Photogrammetry,,,,
Settlement,Alicante,,38.3459963,-0.4906855,65.42654072,,,Core Sim - Photogrammetry,,,,
Settlement,Amarillo,,35.2219971,-101.8312969,3669.913902,,,Core Sim - Photogrammetry,,,,
Settlement,Anaheim,,33.8365932,-117.9143012,156.1961887,,,Core Sim - Photogrammetry,,,,
Settlement,Ann Arbor,,42.2808256,-83.7430378,864.477811,,,Core Sim - Photogrammetry,,,,
Settlement,Anniston,,33.6598257,-85.8316318,708.4264006,,,Core Sim - Photogrammetry,,,,
Settlement,Anthem,,33.8652315,-112.1357339,1886.123958,,,Core Sim - Photogrammetry,,,,
Settlement,Antioch,,38.0049214,-121.805789,40.82449283,,,Core Sim - Photogrammetry,,,,
Settlement,Appleton,,44.2619309,-88.4153847,794.7952044,,,Core Sim - Photogrammetry,,,,
Settlement,Atlanta,,33.7489954,-84.3879824,1049.996057,,,Core Sim - Photogrammetry,,,,
Settlement,Auburn,,32.6098566,-85.4807825,706.9431741,,,Core Sim - Photogrammetry,,,,
Settlement,Augsburg,,48.3705449,10.89779,1584.218494,,,Core Sim - Photogrammetry,,,,
Settlement,Augusta,,44.3106241,-69.7794897,122.999861,,,Core Sim - Photogrammetry,,,,
Settlement,Bakersfield,,35.3732921,-119.0187125,404.0994799,,,Core Sim - Photogrammetry,,,,
Settlement,Baltimore,,39.2903848,-76.6121893,35.98276827,,,Core Sim - Photogrammetry,,,,
