Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Airport,Aeropuerto de Tegucigalpa-Toncontin,MHTG,14.0607174,-87.2192567,3271.649283,,,Core Sim - Standard,,,,
Airport,Altiport Courchevel,LFLJ,45.3972508,6.6347934,6524.156193,,,Core Sim - Standard,,,,
Airport,Aspen Pitkin County Airport,KASE,39.2196304,-106.8643335,7782.859751,,,Core Sim - Standard,,,,
Airport,Billy Bishop Toronto City Airport,CYTZ,43.6284819,-79.3959577,249.0461735,,,Core Sim - Standard,,,,
Airport,Bugalaga Airstrip,WX53,-3.6233936,136.5965826,6206.024849,,,Core Sim - Standard,,,,
Airport,Chagual Airport,SPGL,-7.7975678,-77.6512858,4006.396645,,,Core Sim - Standard,,,,
Airport,Donegal Airport,EIDL,55.0381768,-8.3425786,6.054625148,,,Core Sim - Standard,,,,
Airport,Gibraltar Airport,LXGB,36.153862,-5.3464064,12.42846056,,,Core Sim - Standard,,,,
Airport,Gustaf III Airport,TFFJ,17.904187,-62.8450529,58.04505121,,,Core Sim - Standard,,,,
Airport,Haneda Airport,RJTT,35.5493932,139.7798386,11.8191587,,,Core Sim - Standard,,,,
Airport,Innsbruck Airport,LOWI,47.2576489,11.3513075,1892.739104,,,Core Sim - Standard,,,,
Airport,John F. Kennedy International Airport,KJFK,40.6413111,-73.7781391,9.819894483,,,Core Sim - Standard,,,,
Airport,Juancho E Yrausquin Airport,TNCS,17.6446096,-63.2207283,102.4228915,,,Core Sim - Standard,,,,
Airport,Kampala-Entebbe Airport,HUEN,0.0435913,32.4417945,3800.03293,,,Core Sim - Standard,,,,
Airport,Los Angeles International Airport,KLAX,33.9415889,-118.40853,118.2723897,,,Core Sim - Standard,,,,
Airport,Madeira Airport,LPMA,32.6957983,-16.7758737,175.2834551,,,Core Sim - Standard,,,,
Airport,Mariscal Sucre International Airport,SEQM,-0.1242271,-78.3605684,7828.093852,,,Core Sim - Standard,,,,
Airport,Nanwalek Airport-Keb,KEB,59.3515291,-151.9255449,5.163781295,,,Core Sim - Standard,,,,
Airport,Orlando International Airport,KMCO,28.4311577,-81.308083,95.63048987,,,Core Sim - Standard,,,,
Airport,Paris-Charles De Gaulle,LFPG,49.0096906,2.5479245,340.2806939,,,Core Sim - Standard,,,,
Airport,Paro International Airport,VQPR,27.4051915,89.4210298,7388.552604,,,Core Sim - Standard,,,,
Airport,Queenstown Airport,NZQN,-45.0209721,168.7399228,1118.76644,,,Core Sim - Standard,,,,
Airport,RIOgaleÃ£o - Tom Jobim International Airport,SBGL,-22.805265,-43.2566293,15.71607765,,,Core Sim - Standard,,,,
Airport,Seattle-Tacoma International Airport,KSEA,47.4502499,-122.3088165,400.5657785,,,Core Sim - Standard,,,,
Airport,Sedona Airport,KSEZ,34.8497076,-111.7900916,4785.598147,,,Core Sim - Standard,,,,
Airport,Sirena Airstrip,MRSN,8.4792129,-83.590434,74.54858603,,,Core Sim - Standard,,,,
Airport,Stewart Airport (ZST),CZST,55.9365618,-129.9814514,39.37008,,,Core Sim - Standard,,,,
Airport,Sydney Airport,YSSY,-33.9399228,151.1752764,12.99338824,,,Core Sim - Standard,,,,
Airport,Telluride Regional Airport,KTEX,37.9545624,-107.9019696,9062.924012,,,Core Sim - Standard,,,,
Airport,Tenzing Hillary Airport,VNLK,27.6872855,86.7321976,9391.14498,,,Core Sim - Standard,,,,
Airport,Amsterdam Airport Schiphol,EHAM,52.3105386,4.7682744,-10.05588117,,,Core Sim - Deluxe,,,,
Airport,Cairo International Airport,HECA,30.1128268,31.3997904,328.3368363,,,Core Sim - Deluxe,,,,
Airport,Cape Town International Airport,FACT,-33.971463,18.6020851,154.8301816,,,Core Sim - Deluxe,,,,
Airport,Madrid-Barajas Adolfo SuÃ¡rez Airport,LEMD,40.4983322,-3.5675982,1962.905306,,,Core Sim - Deluxe,,,,
Airport,O'Hare International Airport,KORD,41.9741625,-87.9073214,650.0166753,,,Core Sim - Deluxe,,,,
Airport,Denver International Airport,KDEN,39.8560963,-104.6737376,5372.653442,,,Core Sim - Premium,,,,
Airport,Dubai International Airport,OMDB,25.2531745,55.3656728,0.825646871,,,Core Sim - Premium,,,,
Airport,Frankfurt Airport,EDDF,50.0379326,8.5621518,331.822028,,,Core Sim - Premium,,,,
Airport,Heathrow Airport,EGLL,51.4700223,-0.4542955,85.79368315,,,Core Sim - Premium,,,,
Airport,San Francisco International Airport,KSFO,37.6213129,-122.3789554,5.732341963,,,Core Sim - Premium,,,,
