Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,First Flight Airport - Kitty Hawk,KFFA,36.0154647,-75.6723032,10.30765917,,,40th Anniversary Edition,,,,
Airport,Kai Tak,VHHX,22.3203158,114.1985085,1.769261858,,,40th Anniversary Edition,,,,
Airport,Meigs Field,KCGX,41.8582038,-87.6078746,578.4163573,,,40th Anniversary Edition,,,,
Airport,Princess Juliana International Airport,TNCM,18.0418698,-63.1130821,12.03046969,,,40th Anniversary Edition,,,,
Settlement,Bonn,,50.73906786,7.097943418,203.3530824,,,City Update 1 - Germany,,,,
Settlement,Cologne,,50.93931477,6.960383569,167.4478189,,,City Update 1 - Germany,,,,
Settlement,Dortmund,,51.51578509,7.463454084,285.7910708,,,City Update 1 - Germany,,,,
Settlement,Dusseldorf,,51.22193697,6.783309759,135.2452524,,,City Update 1 - Germany,,,,
Settlement,Hanover,,52.37609273,9.737256816,186.1756177,,,City Update 1 - Germany,,,,
Airport,Paris Le-Bourget,LFPB,48.9626187,2.436691121,138.5696586,,,City Update 2 - France,,,,
Settlement,Amiens,,49.89469915,2.302139628,119.6956673,,,City Update 2 - France,,,,
Settlement,Angers,,47.47167851,-0.55315079,115.2723955,,,City Update 2 - France,,,,
Settlement,Nantes,,47.21838604,-1.556560913,22.45304381,,,City Update 2 - France,,,,
Settlement,Nimes,,43.83559284,4.358991637,153.9325138,,,City Update 2 - France,,,,
Settlement,Reims,,49.25709658,4.03381908,289.4255463,,,City Update 2 - France,,,,
Settlement,Abilene,,32.4495989,-99.73158542,1714.895308,,,City Update 3 - Texas,,,,
Settlement,Austin,,30.26911806,-97.73447124,471.8061283,,,City Update 3 - Texas,,,,
Settlement,Cedar Park,,30.50511053,-97.81772063,909.9682276,,,City Update 3 - Texas,,,,
Settlement,San Antonio,,29.42347702,-98.48335766,659.2040886,,,City Update 3 - Texas,,,,
Settlement,Schertz,,29.55975653,-98.26506459,704.6341809,,,City Update 3 - Texas,,,,
Settlement,Temple,,31.09835277,-97.34230221,719.0511338,,,City Update 3 - Texas,,,,
Settlement,Waco,,31.55037695,-97.14603954,478.3358189,,,City Update 3 - Texas,,,,
Airport,Cologne Bonn Airport,EDDK,50.86703747,7.139732082,244.2782773,,,City Update 4 - Western Europe,,,,
Landform,Moselle River,,50.145784,7.168402643,283.7616718,,,City Update 4 - Western Europe,,,,
Landform,Rhine River,,50.35826226,7.562663413,216.53544,,,City Update 4 - Western Europe,,,,
Landform,Vosges Mountains,,47.99943732,6.981738212,4163.949454,,,City Update 4 - Western Europe,,,,
Settlement,Annemasse,,46.19294439,6.235988694,1439.212435,,,City Update 4 - Western Europe,,,,
Settlement,Geneva,,46.20398173,6.141258413,1220.559988,,,City Update 4 - Western Europe,,,,
Settlement,Ghent,,51.05291358,3.728128936,34.52689739,,,City Update 4 - Western Europe,,,,
Settlement,Luxembourg City,,49.61088772,6.132131594,1005.337064,,,City Update 4 - Western Europe,,,,
Settlement,Rotterdam,,51.92242971,4.479168278,0.195186396,,,City Update 4 - Western Europe,,,,
Settlement,Brussels,,50.84244667,4.379759926,172.9597437,,,City Update 5 - European Cities 1,,,,
Settlement,Cadiz,,36.52093724,-6.280321598,42.01241187,,,City Update 5 - European Cities 1,,,,
Settlement,Kosice,,48.71814075,21.25360058,685.5249499,,,City Update 5 - European Cities 1,,,,
Settlement,The Hague,,52.09067592,4.29450466,16.30304888,,,City Update 5 - European Cities 1,,,,
Settlement,Zagreb,,45.81538432,15.98357799,471.9669263,,,City Update 5 - European Cities 1,,,,
Airport,Friedrichschafen Airport,EDNY,47.67129478,9.511994724,1348.905231,,,City Update 6 - Southwest Germany,,,,
Landform,Lake Constance,,47.60745119,9.427549835,1299.21264,,,City Update 6 - Southwest Germany,,,,
Settlement,Esslingen,,48.74251108,9.314251595,816.0099281,,,City Update 6 - Southwest Germany,,,,
Settlement,Heidelburg,,49.39897418,8.673135831,365.7110837,,,City Update 6 - Southwest Germany,,,,
Settlement,Insel Mainau,,47.70548254,9.195738104,1387.035484,,,City Update 6 - Southwest Germany,,,,
Settlement,Karlsruhe,,49.00611853,8.40158239,377.9306558,,,City Update 6 - Southwest Germany,,,,
Settlement,Kehl,,48.58496564,7.816336859,455.7360898,,,City Update 6 - Southwest Germany,,,,
Settlement,Mannheim,,49.48400547,8.475691643,316.1816435,,,City Update 6 - Southwest Germany,,,,
Settlement,Sankt Peter,,48.01771934,8.035880266,2357.471772,,,City Update 6 - Southwest Germany,,,,
Settlement,Strasbourg,,48.57288617,7.755640912,463.5463573,,,City Update 6 - Southwest Germany,,,,
Settlement,Stuttgart,,48.77641141,9.184320923,821.3032462,,,City Update 6 - Southwest Germany,,,,
Settlement,Barcelona,,41.40536023,2.174589855,116.1085001,,,City Update 7 - European Cities 2,,,,
Settlement,Monaco,,43.73833878,7.429552581,43.23809304,,,City Update 7 - European Cities 2,,,,
Settlement,Nice,,43.69690694,7.256523875,22.56889897,,,City Update 7 - European Cities 2,,,,
Settlement,Porto,,41.16181936,-8.583298441,345.026638,,,City Update 7 - European Cities 2,,,,
Settlement,Stockholm,,59.32498292,18.09584534,27.90913584,,,City Update 7 - European Cities 2,,,,
Building,Allegiant Stadium,,36.09104035,-115.1833279,2182.426422,,,City Update 8 - Las Vegas,,,,
Building,Bellagio,,36.1128501,-115.1739464,2114.911285,,,City Update 8 - Las Vegas,,,,
Building,Excalibur Hotel Casino,,36.09895998,-115.1754629,2136.932201,,,City Update 8 - Las Vegas,,,,
Building,Hoover Dam Bridge,,36.012533,-114.741422,717.5121387,,,City Update 8 - Las Vegas,,,,
Building,Linq Promenade,,36.11821133,-115.1708865,2100.422043,,,City Update 8 - Las Vegas,,,,
Building,Luxor Las Vegas,,36.09564811,-115.1760724,2147.867867,,,City Update 8 - Las Vegas,,,,
Building,MGM Grand,,36.10382946,-115.1676182,2106.846554,,,City Update 8 - Las Vegas,,,,
Building,New York New York Hotel,,36.10232069,-115.1743753,2126.743255,,,City Update 8 - Las Vegas,,,,
Building,Rio Convention Centre,,36.11773062,-115.1880086,2155.187881,,,City Update 8 - Las Vegas,,,,
Building,Sphere,,36.12128844,-115.1620429,2069.052014,,,City Update 8 - Las Vegas,,,,
Building,Stratosphere Tower,,36.14764325,-115.1567022,2039.054275,,,City Update 8 - Las Vegas,,,,
Building,The Mirage Hotel,,36.12130641,-115.1752832,2108.838006,,,City Update 8 - Las Vegas,,,,
Landform,Frenchman Mountain,,36.18002751,-114.9977665,3819.952659,,,City Update 8 - Las Vegas,,,,
Landform,Las Vegas Lake,,36.11886822,-114.9152004,1407.004874,,,City Update 8 - Las Vegas,,,,
Landform,Red Rock Canyon,,36.19458001,-115.4383386,5406.042157,,,City Update 8 - Las Vegas,,,,
Park,Southern Highlands Golf Club,,35.97238583,-115.1936105,2420.267898,,,City Update 8 - Las Vegas,,,,
