Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Location,African Savanna,,-22.3439978,28.8267114,2247.783903,,,Footage Locations,,,,
Location,Ahmedabad (India),,23.0792925,72.5348625,246.8398816,,,Footage Locations,,,,
Location,Airport Remy de Haenen (Saint-Barthelemy),,17.9045358,-62.8470417,106.5525079,,,Footage Locations,,,,
Location,Aix-les-Bains (France),,45.6572883,5.8686206,761.15488,,,Footage Locations,,,,
Location,Ajaccio Corse (France),,41.9064531,8.7168869,0,,,Footage Locations,,,,
Location,Alice Springs Airport (Austrailia),,-23.8008154,133.8912879,1793.566383,,,Footage Locations,,,,
Location,Ambergris Cay - Turks and Caicos Islands,,21.2939547,-71.654622,0,,,Footage Locations,,,,
Location,Anaga Mountains - Tenerife (Spain),,28.5724977,-16.3060298,0.285585188,,,Footage Locations,,,,
Location,Andes - San Juan Province (Argentina),,-32.5308124,-69.8172822,12589.95757,,,Footage Locations,,,,
Location,Androy region (Madagascar),,-25.5106073,45.3118475,487.4282152,,,Footage Locations,,,,
Location,Apurimac River (Peru),,-13.1553228,-73.4145864,2681.29092,,,Footage Locations,,,,
Location,Arcachon (France),,44.696345,-1.1617616,0,,,Footage Locations,,,,
Location,Arches National Park (USA),,38.788213,-109.6772657,5160.981191,,,Footage Locations,,,,
Location,Argeles-Gazost (France),,43.0062078,-0.0519303,3017.230994,,,Footage Locations,,,,
Location,Aspen (USA),,39.1866571,-106.8216754,7966.416181,,,Footage Locations,,,,
Location,Athens (Greece),,37.9731236,23.7305252,257.0217946,,,Footage Locations,,,,
Location,Avachinsky - Kamchatka (Russia),,53.2367888,158.8487943,6861.828801,,,Footage Locations,,,,
Location,Ayers Rock (Australia),,-25.3485049,131.0387439,2251.016484,,,Footage Locations,,,,
Location,Baltimore Washington Int'l Airport (USA),,39.1837421,-76.6705652,157.9303617,,,Footage Locations,,,,
Location,Bankok (Thailand),,13.7408924,100.4925388,9.43732417,,,Footage Locations,,,,
Location,Barringer Crater Arizona (USA),,35.0374029,-111.0211278,5527.02193,,,Footage Locations,,,,
Location,Benedita (Portugal),,39.3729207,-8.9784534,548.4560143,,,Footage Locations,,,,
Location,Biarritz (France),,43.5005002,-1.5701276,-12.82342034,,,Footage Locations,,,,
Location,Big Sur coastline (USA),,36.2115668,-121.6955668,3183.602262,,,Footage Locations,,,,
Location,Bonita Springs (USA),,26.441172,-81.8147844,13.21618055,,,Footage Locations,,,,
Location,Bozel (France),,45.4433926,6.6620219,2849.330843,,,Footage Locations,,,,
Location,Bucharest (Romania),,44.4285015,26.1049545,234.6234634,,,Footage Locations,,,,
Location,Burj Khalifa Dubai (UAE),,25.1985837,55.2737135,28.07064096,,,Footage Locations,,,,
Location,Cabane Vauban (France),,48.7319948,-1.5363583,150.6689701,,,Footage Locations,,,,
Location,Canas (Costa Rica),,10.3564018,-85.0258142,707.2228185,,,Footage Locations,,,,
Location,Cantabria (Spain),,43.4482115,-3.9570273,128.8128691,,,Footage Locations,,,,
Location,Cape Coral (USA),,26.5730365,-82.0379585,2.142061937,,,Footage Locations,,,,
Location,Cape Town (South Africa),,-33.8646976,18.500799,36.10928656,,,Footage Locations,,,,
Location,Caraguatatuba (Brazil),,-23.6596058,-45.4245143,-0.01286604,,,Footage Locations,,,,
Location,Castilla (Spain),,40.477444,-3.6779081,2371.198074,,,Footage Locations,,,,
Location,Catania (Italy),,37.5199451,15.1077287,47.73431715,,,Footage Locations,,,,
Location,Cavarzere (Italy),,45.1462056,12.1097644,-9.45851589,,,Footage Locations,,,,
Location,Cerne Giant (UK),,50.8124206,-2.4747704,484.6985038,,,Footage Locations,,,,
Location,Chalet Refuge du clot (France),,42.8609458,-0.1481226,7025.022556,,,Footage Locations,,,,
Location,Chambery Airport (France),,45.6477463,5.8793601,770.5576084,,,Footage Locations,,,,
Location,Chicago O'Hare Airport (USA),,41.9658116,-87.9310475,666.8394908,,,Footage Locations,,,,
Location,Chiquitos Airport (Bolivia),,-18.4173817,-61.7775941,971.2482873,,,Footage Locations,,,,
Location,Colca Canyon (Peru),,-15.60128,-71.8368847,10226.34063,,,Footage Locations,,,,
Location,Colorado River Delta (Mexico),,31.8900997,-114.7527567,0,,,Footage Locations,,,,
Location,Colta (Peru),,-15.177939,-73.3109088,8474.146996,,,Footage Locations,,,,
Location,Courchevel Airport (France),,45.3965108,6.6333127,6588.013227,,,Footage Locations,,,,
Location,Cristo Redentor (Brazil),,-22.9517424,-43.2100997,2138.458881,,,Footage Locations,,,,
Location,Discovery Bay (USA),,48.0004447,-122.7806088,122.4767669,,,Footage Locations,,,,
Location,Disneyworld Florida (USA),,28.375981,-81.5512584,104.1803806,,,Footage Locations,,,,
Location,Dongxingpucun (China),,40.730722,115.8895672,2774.395368,,,Footage Locations,,,,
Location,Dubai (UAE),,25.0998863,55.177754,4.13471411,,,Footage Locations,,,,
Location,Dune 45 (Namibia),,-24.718086,15.4337348,1953.292068,,,Footage Locations,,,,
Location,Dunedin (USA),,28.0143991,-82.7873724,22.20519173,,,Footage Locations,,,,
Location,Edwards Air Base (USA),,34.9605869,-117.8101278,2273.746673,,,Footage Locations,,,,
Location,El hierro (Spain),,27.7545612,-18.0244046,770.1938605,,,Footage Locations,,,,
Location,Elim Dune (Namibia),,-24.45524,15.8129896,2839.857378,,,Footage Locations,,,,
Location,Endoume (France),,43.2826896,5.3535472,111.2681021,,,Footage Locations,,,,
Location,Farm Whitwater East Landing Strip (Namibia),,-24.6310503,15.949802,2856.242754,,,Footage Locations,,,,
Location,Figari corsica (France),,41.4630286,9.0214066,0,,,Footage Locations,,,,
Location,Fish Lake Valley - Nevada (USA),,37.3869882,-117.8904741,5024.390594,,,Footage Locations,,,,
Location,Fish River Canyon (Namibia),,-27.5820174,17.5945905,1512.722454,,,Footage Locations,,,,
Location,Florence (Italy),,43.7700662,11.2586741,155.6968113,,,Footage Locations,,,,
Location,Florence Preetola Airport (Italy),,43.8151088,11.2132794,144.7837105,,,Footage Locations,,,,
Location,Florida Keys (USA),,24.8646581,-80.756455,-8.953594134,,,Footage Locations,,,,
Location,Fogo (Cape Verde),,14.9508172,-24.3307569,6934.037718,,,Footage Locations,,,,
Location,French Riviera (France),,43.4483847,6.9930201,-1951.067128,,,Footage Locations,,,,
Location,Fuorigrotta (Italy),,40.7769871,14.1708879,-199.2040608,,,Footage Locations,,,,
Location,Garonne (France),,44.7567413,-0.5274092,20.29112852,,,Footage Locations,,,,
Location,Golden Meadow (USA),,29.3563996,-90.288117,0.276725181,,,Footage Locations,,,,
Location,Grand Teton National Park (USA),,43.7347778,-110.7525042,7363.342361,,,Footage Locations,,,,
Location,Grand-Canyon (USA),,36.2167901,-112.378634,4023.544961,,,Footage Locations,,,,
Location,Grey Lake (Chile),,-51.049268,-73.226701,977.7190554,,,Footage Locations,,,,
Location,Gribraltar (UK),,36.1495519,-5.3367319,0,,,Footage Locations,,,,
Location,Hagia Sophia and Blue Mosque (Turkey),,41.0082974,28.9754536,148.3792505,,,Footage Locations,,,,
Location,Hidden Lake - Montana (USA),,48.6883501,-113.7401723,7301.290751,,,Footage Locations,,,,
Location,Hill Air Force Base Utah (USA),,41.1308873,-111.977744,4783.739058,,,Footage Locations,,,,
Location,Hong Kong (China),,22.3011868,114.1506977,0,,,Footage Locations,,,,
Location,Hout Bay (South Africa),,-34.0585346,18.334234,232.0489682,,,Footage Locations,,,,
Location,Ibiza (Spain),,38.936433,1.4378598,39.70490793,,,Footage Locations,,,,
