Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Settlement,Derby,,52.9225301,-1.4746186,157.1052832,,,GOTY Edition,,,,
Settlement,Eastbourne,,50.768035,0.290472,31.5547156,,,GOTY Edition,,,,
Airport,Flughafen Kassel,EDVK,51.4164133,9.3861852,847.7756441,,,GOTY Edition,,,,
Settlement,Freiburg im Breisgau,,47.9990077,7.8421043,885.8525317,,,GOTY Edition,,,,
Settlement,Helsinki,,60.1698557,24.938379,22.80972521,,,GOTY Edition,,,,
Airport,Leipzig/Halle Airport,EDDP,51.418865,12.2208653,431.693584,,,GOTY Edition,,,,
Airport,Lugano Airport,LSZA,46.0044161,8.9101095,908.8970085,,,GOTY Edition,,,,
Airport,Luzern-Beromunster Airport,LSZO,47.1910015,8.2053931,2143.79305,,,GOTY Edition,,,,
Airport,MCAS Miramar,KNKX,32.8753487,-117.1373231,460.2026899,,,GOTY Edition,,,,
Airport,Memmingen Airport,EDJA,47.989376,10.2324256,2075.389818,,,GOTY Edition,,,,
Settlement,Nottingham,,52.9547832,-1.1581086,207.1845254,,,GOTY Edition,,,,
Airport,Patrick Air Force Base,KCOF,28.2394645,-80.6075172,7.057905892,,,GOTY Edition,,,,
Settlement,Utrecht,,52.0907374,5.1214201,18.04462,,,GOTY Edition,,,,
Airport,Zurich Airport,LSZH,47.4612352,8.5534976,1381.807647,,,GOTY Edition,,,,
