Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Settlement,Ottawa (capital of  Canada),,45.42518889,-75.69994506,289.95597445587157,,,,,,,
Settlement,St. John's (capital of  Newfoundland and Labrador),,47.56149157,-52.71260524,59.49418566192628,,,,,,,
Settlement,Halifax (capital of  Nova Scotia),,44.6438242,-63.57380021,101.72044523849486,,,,,,,
Settlement,Fredericton (capital of  New Brunswick),,45.95847235,-66.63478392,25.798863826007842,,,,,,,
Settlement,Charlottetown (capital of  Prince Edward Island),,46.23113459,-63.12506221,0.0,,,,,,,
Settlement,Québec (capital of  Quebec),,46.80197954,-71.26800244,61.74388091857909,,,,,,,
Settlement,Toronto (capital of  Ontario),,43.65592995,-79.39044743,320.32449500793456,,,,,,,
Settlement,Winnipeg (capital of  Manitoba),,49.90046259,-97.13268531,759.8400108807372,,,,,,,
Settlement,Regina (capital of  Saskatchewan),,50.44650545,-104.6203501,1889.76384,,,,,,,
Settlement,Edmonton (capital of  Alberta),,53.5502387,-113.4908801,2185.5280416601563,,,,,,,
Settlement,Victoria (capital of  British Columbia),,48.42835997,-123.3647247,59.868108607635484,,,,,,,
Settlement,Iqaluit (capital of  Nunavut),,63.74708042,-68.51899107,36.86474182170868,,,,,,,
Settlement,Yellowknife (capital of  Northwest Territories),,62.45273995,-114.3742505,633.20212,,,,,,,
Settlement,Whitehorse (capital of  Yukon),,60.71950525,-135.049041,2099.7376,,,,,,,
