Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
POI,Australian Grand Prix – Albert Park – Australia  ,,-37.85030476,144.9700745,18.530161642074585,,,EXAMPLE,,,,
POI,Chinese Grand Prix – Shanghai – China  ,,31.33677578,121.2207543,13.12336,,,,,,,
POI,Japanese Grand Prix – Suzuka – Japan  ,,34.84420699,136.539844,123.08899579986573,,,,,,,
POI,Bahrain Grand Prix – Sakhir – Bahrain  ,,26.03240146,50.51080748,25.610894862537386,,,,,,,
POI,Saudi Arabian Grand Prix – Jeddah – Saudi Arabia  ,,21.6486459,39.10290443,7.381877484588622,,,,,,,
POI,Miami Grand Prix – Miami – United States  ,,25.95961503,-80.23799352,5.716163055982589,,,,,,,
POI,Emilia-Romagna Grand Prix – Imola – Italy  ,,44.34433864,11.71436276,129.9453511607361,,,,,,,
POI,Monaco Grand Prix – Monte Carlo – Monaco  ,,43.73427464,7.421756096,13.810210469646453,,,,,,,
POI,Spanish Grand Prix – Barcelona – Spain  ,,41.57024572,2.256000289,445.5810849658203,,,,,,,
POI,Canadian Grand Prix – Montreal – Canada  ,,45.50158687,-73.52266669,37.12989645599366,,,,,,,
POI,Austrian Grand Prix – Spielberg – Austria  ,,47.22013386,14.76495878,2223.5202249291992,,,,,,,
POI,British Grand Prix – Silverstone – United Kingdom  ,,52.0712322,-1.017071723,498.1985276617432,,,,,,,
POI,Belgian Grand Prix – Spa-Francorchamps – Belgium  ,,50.4431344,5.965981417,1355.6823763793943,,,,,,,
POI,Hungarian Grand Prix – Budapest – Hungary  ,,47.57987668,19.24742554,775.0499402655029,,,,,,,
POI,Dutch Grand Prix – Zandvoort – Netherlands  ,,52.38436468,4.534378978,43.1918079200363,,,,,,,
POI,Italian Grand Prix – Monza – Italy  ,,45.61766934,9.281375349,599.9628894787596,,,,,,,
POI,Azerbaijan Grand Prix – Baku – Azerbaijan  ,,40.37304893,49.85310867,-79.03011705078124,,,,,,,
POI,Singapore Grand Prix – Marina Bay – Singapore  ,,1.291726943,103.8637948,13.711537401924133,,,,,,,
POI,United States Grand Prix – Austin – United States  ,,30.13282778,-97.64042972,510.1242629162597,,,,,,,
POI,Mexico City Grand Prix – Mexico City – Mexico  ,,19.40569558,-99.09243929,7307.359824140625,,,,,,,
POI,São Paulo Grand Prix – Interlagos – Brazil  ,,-23.70460195,-46.69977407,2559.900641069336,,,,,,,
POI,Las Vegas Grand Prix – Las Vegas – United States  ,,36.11010522,-115.1618735,2070.797963964844,,,,,,,
POI,Qatar Grand Prix – Lusail – Qatar  ,,25.48869785,51.45054169,37.841306856040944,,,,,,,
POI,Abu Dhabi Grand Prix – Yas Marina – United Arab Emirates,,24.46994916,54.60565815,12.487142191505434,,,,,,,
