Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Settlement,EXAMPLE,,52.9225301,-1.4746186,157.1052832,,,EXAMPLE,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Aurora Borealis (Northern Lights),,,,,,,,,,,
,,,,,,,,,,,,
,Grand Canyon,,,,,,,,,,,
,,,,,,,,,,,,
,Great Barrier Reef,,,,,,,,,,,
,,,,,,,,,,,,
,Harbor of Rio de Janeiro,,,,,,,,,,,
,,,,,,,,,,,,
,Mount Everest,,,,,,,,,,,
,,,,,,,,,,,,
,Parícutin Volcano,,,,,,,,,,,
,,,,,,,,,,,,
,Victoria Falls,,,,,,,,,,,
