Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Settlement,EXAMPLE,,52.9225301,-1.4746186,157.1052832,,,EXAMPLE,,,,
,,,,,,,,,,,,
,Afghanistan,,,,,,,,,,,
,,,,,,,,,,,,
,Minaret and Archaeological Remains of Jam,,,,,,,,,,,
,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,,,,,,,,,,,
,,,,,,,,,,,,
,Albania,,,,,,,,,,,
,,,,,,,,,,,,
,Natural and Cultural Heritage of the Ohrid region * 1,,,,,,,,,,,
,Butrint,,,,,,,,,,,
,Historic Centres of Berat and Gjirokastra,,,,,,,,,,,
,Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe *,,,,,,,,,,,
,,,,,,,,,,,,
,Algeria,,,,,,,,,,,
,,,,,,,,,,,,
,Al Qal'a of Beni Hammad,,,,,,,,,,,
,Djémila,,,,,,,,,,,
,M'Zab Valley,,,,,,,,,,,
,Tassili n'Ajjer #,,,,,,,,,,,
,Timgad,,,,,,,,,,,
,Tipasa,,,,,,,,,,,
,Kasbah of Algiers,,,,,,,,,,,
,,,,,,,,,,,,
,Andorra,,,,,,,,,,,
,,,,,,,,,,,,
,Madriu-Perafita-Claror Valley,,,,,,,,,,,
,,,,,,,,,,,,
,Angola,,,,,,,,,,,
,,,,,,,,,,,,
,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",,,,,,,,,,,
,,,,,,,,,,,,
,Antigua and Barbuda,,,,,,,,,,,
,,,,,,,,,,,,
,Antigua Naval Dockyard and Related Archaeological Sites,,,,,,,,,,,
,,,,,,,,,,,,
,Argentina,,,,,,,,,,,
,,,,,,,,,,,,
,Los Glaciares National Park #,,,,,,,,,,,
,"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil) *",,,,,,,,,,,
,Iguazu National Park,,,,,,,,,,,
,"Cueva de las Manos, Río Pinturas",,,,,,,,,,,
,Península Valdés,,,,,,,,,,,
,Ischigualasto / Talampaya Natural Parks,,,,,,,,,,,
,Jesuit Block and Estancias of Córdoba,,,,,,,,,,,
,Quebrada de Humahuaca,,,,,,,,,,,
,"Qhapaq Ñan, Andean Road System *",,,,,,,,,,,
,"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement *",,,,,,,,,,,
,Los Alerces National Park,,,,,,,,,,,
,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",,,,,,,,,,,
,,,,,,,,,,,,
,Armenia,,,,,,,,,,,
,,,,,,,,,,,,
,Monasteries of Haghpat and Sanahin,,,,,,,,,,,
,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,,,,,,,,,,,
,Monastery of Geghard and the Upper Azat Valley,,,,,,,,,,,
,,,,,,,,,,,,
,Australia,,,,,,,,,,,
,,,,,,,,,,,,
,Great Barrier Reef,,,,,,,,,,,
,Kakadu National Park,,,,,,,,,,,
,Willandra Lakes Region,,,,,,,,,,,
,Lord Howe Island Group,,,,,,,,,,,
,Tasmanian Wilderness,,,,,,,,,,,
,Gondwana Rainforests of Australia 2,,,,,,,,,,,
,Uluru-Kata Tjuta National Park 3,,,,,,,,,,,
,Wet Tropics of Queensland,,,,,,,,,,,
,"Shark Bay, Western Australia",,,,,,,,,,,
,K’gari (Fraser Island),,,,,,,,,,,
,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),,,,,,,,,,,
,Heard and McDonald Islands,,,,,,,,,,,
