Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
POI,American Airlines Center home to the Dallas Mavericks,NBA1,32.790518,-96.810291,425.6985017126466,,,,,,,
POI,Ball Arena home to the Denver Nuggets,NBA2,39.748714,-105.007614,5190.940081884765,,,,,,,
POI,Barclays Center home to the Brooklyn Nets,NBA3,40.682649,-73.975216,50.718153927001936,,,,,,,
POI,Capital One Arena home to the Washington Wizards,NBA4,38.898214,-77.020895,45.53805957546235,,,,,,,
POI,Chase Center home to the Golden State Warriors,NBA5,37.767875,-122.387357,0.48743968243122093,,,,,,,
POI,Crypto.com Arena home to the Los Angeles Lakers,NBA6,34.043098,-118.26718,233.9239020123291,,,,,,,
POI,Delta Center home to the Utah Jazz,NBA7,40.768381,-111.901215,4264.975055996094,,,,,,,
POI,FedExForum home to the Memphis Grizzlies,NBA8,35.138262,-90.050583,249.58981789520263,,,,,,,
POI,Fiserv Forum home to the Milwaukee Bucks,NBA9,43.045119,-87.917407,594.8870391174315,,,,,,,
POI,Frost Bank Center home to the San Antonio Spurs,NBA10,29.427043,-98.437468,637.3241458294677,,,,,,,
POI,Gainbridge Fieldhouse home to the Indiana Pacers,NBA11,39.764043,-86.155542,706.9501327099609,,,,,,,
POI,Golden 1 Center home to the Sacramento Kings,NBA12,38.580181,-121.499623,25.28182402235031,,,,,,,
POI,Intuit Dome home to the Los Angeles Clippers,NBA13,33.943824,-118.342178,85.3749300024414,,,,,,,
POI,Kaseya Center home to the Miami Heat,NBA14,25.781434,-80.187954,4.848471931858062,,,,,,,
POI,Kia Center home to the Orlando Magic,NBA15,28.539238,-81.38385,106.0276866409302,,,,,,,
POI,Little Caesars Arena home to the Detroit Pistons,NBA16,42.341108,-83.055272,610.9138243719482,,,,,,,
POI,Madison Square Garden home to the New York Knicks,NBA17,40.750514,-73.993443,38.73071143669129,,,,,,,
POI,Moda Center home to the Portland Trail Blazers,NBA18,45.531575,-122.666846,92.48915289932252,,,,,,,
POI,Paycom Center home to the Oklahoma City Thunder,NBA19,35.463429,-97.515108,1195.5391773315432,,,,,,,
POI,PHX Arena home to the Phoenix Suns,NBA20,33.445807,-112.071238,1086.0981124841308,,,,,,,
POI,Rocket Arena home to the Cleveland Cavaliers,NBA21,41.49656,-81.688075,669.5927311059569,,,,,,,
POI,Scotiabank Arena home to the Toronto Raptors,NBA22,43.643488,-79.379112,259.93633351135253,,,,,,,
POI,Smoothie King Center home to the New Orleans Pelicans,NBA23,29.949038,-90.08206,2.2725235625576974,,,,,,,
POI,Spectrum Center home to the Charlotte Hornets,NBA24,35.225198,-80.83935,721.1170777722169,,,,,,,
POI,State Farm Arena home to the Atlanta Hawks,NBA25,33.757284,-84.396438,1021.9602336157225,,,,,,,
POI,Target Center home to the Minnesota Timberwolves,NBA26,44.979507,-93.276118,844.6914462561035,,,,,,,
POI,TD Garden home to the Boston Celtics,NBA27,42.366218,-71.062142,9.918886693582532,,,,,,,
POI,Toyota Center home to the Houston Rockets,NBA28,29.7508,-95.362126,45.14728775718688,,,,,,,
POI,United Center home to the Chicago Bulls,NBA29,41.880701,-87.674196,592.1957751165771,,,,,,,
POI,Wells Fargo Center home to the Philadelphia 76ers,NBA30,39.9012,-75.171981,18.348491059379576,,,,,,,
