Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Mountain,Morning,,-78.5,163.53,8892.176955214843,,,,,,,Volcanoes
Mountain,Royal Society Range,,-78.25,163.33,1191.078684716797,,,,,,,Volcanoes
Mountain,Erebus,,-77.53,167.17,11772.702411103515,,,,,,,Volcanoes
Mountain,Waesche,,-77.17,-126.88,9890.420584394531,,,,,,,Volcanoes
Mountain,Unnamed,,-76.83,163,-48.06199566,,,,,,,Volcanoes
Mountain,Takahe,,-76.28,-112.08,11182.023854277344,,,,,,,Volcanoes
Mountain,Berlin,,-76.05,-136,9448.644585,,,,,,,Volcanoes
Mountain,Andrus,,-75.8,-132.33,9081.401965371093,,,,,,,Volcanoes
Mountain,Toney Mountain,,-75.8,-115.83,11039.686981796875,,,,,,,Volcanoes
Mountain,Melbourne,,-74.35,164.7,8317.288242,,,,,,,Volcanoes
Mountain,Hudson Mountains,,-74.33,-99.42,1618.1309534472657,,,,,,,Volcanoes
Mountain,Unnamed,,-73.45,164.58,4492.557699433593,,,,,,,Volcanoes
Mountain,Siple,,-73.43,-126.67,5873.123717,,,,,,,Volcanoes
Mountain,Peter I Island,,-68.85,-90.58,0,,,,,,,Volcanoes
Mountain,Sturge Island,,-67.4,164.83,0,,,,,,,Volcanoes
Mountain,Buckle Island,,-66.78,163.25,0,,,,,,,Volcanoes
Mountain,Young Island,,-66.42,162.47,29.52756,,,,,,,Volcanoes
Mountain,Lindenberg Island,,-65.03,-60.05,687.4105718518066,,,,,,,Volcanoes
Mountain,Seal Nunataks Group,,-65.03,-60.05,687.4105718518066,,,,,,,Volcanoes
Mountain,Mount Haddington Volc Field,,-64.15,-57.75,3820.7556477880876,,,,,,,Volcanoes
Mountain,Paulet,,-63.579,-55.78,933.4426337548828,,,,,,,Volcanoes
Mountain,Deception Island,,-62.957,-60.637,-474.4425247,,,,,,,Volcanoes
Mountain,Penguin Island,,-62.1,-57.93,0,,,,,,,Volcanoes
