Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Settlement,Kabul (Capital of Afghanistan),,69.20766371,34.5552647,192.03094035614012,,,,,,,Capital Cities of the World
Settlement,Tirana (Capital of Albania),,19.81933206,41.32775984,4776.347555981444,,,,,,,Capital Cities of the World
Settlement,Algiers (Capital of Algeria),,3.098365256,36.73112035,1766.4988524853516,,,,,,,Capital Cities of the World
Settlement,Andorra la Vella (Capital of Andorra),,1.521514646,42.50524653,264.934137767334,,,,,,,Capital Cities of the World
Settlement,Luanda (Capital of Angola),,13.23535653,-8.816193777,1402.8848010656739,,,,,,,Capital Cities of the World
Settlement,Saint John's (Capital of Antigua and Barbuda),,-61.84703262,17.1278084,-16751.376310117186,,,,,,,Capital Cities of the World
Settlement,Buenos Aires (Capital of Argentina),,-58.44426468,-34.60475086,-9042.706315859376,,,,,,,Capital Cities of the World
Settlement,Yerevan (Capital of Armenia),,44.5170736,40.18991752,1318.1892075927735,,,,,,,Capital Cities of the World
Settlement,Canberra (Capital of Australia),,-35.28459376,149.1359948,1835.8526541992187,,,,,,,Capital Cities of the World
Settlement,Vienna (Capital of Austria),,16.36751385,48.20259551,3497.191613637694,,,,,,,Capital Cities of the World
Settlement,Baku (Capital of Azerbaijan),,49.86705587,40.40744371,576.8982879138184,,,,,,,Capital Cities of the World
Settlement,Nassau (Capital of Bahamas),,-77.4002213,25.03717757,11553.614227675782,,,,,,,Capital Cities of the World
Settlement,Manama (Capital of Bahrain),,50.5909127,26.22383025,670.1049118011474,,,,,,,Capital Cities of the World
Settlement,Dhaka (Capital of Bangladesh),,23.80278877,90.41660241,29.559417979660033,,,,,,,Capital Cities of the World
Settlement,Bridgetown (Capital of Barbados),,-59.61339769,13.09862666,-17588.16031921875,,,,,,,Capital Cities of the World
Settlement,Minsk (Capital of Belarus),,27.54949658,53.90834772,3067.84271685791,,,,,,,Capital Cities of the World
Settlement,Brussels (Capital of Belgium),,4.362346338,50.84827285,-15576.263685878906,,,,,,,Capital Cities of the World
Settlement,Belmopan (Capital of Belize),,-88.76604857,17.25420263,8986.22076,,,,,,,Capital Cities of the World
Settlement,Porto-Novo (Capital of Benin),,2.621920086,6.477542768,-7468.404533300782,,,,,,,Capital Cities of the World
Settlement,Thimphu (Capital of Bhutan),,89.63781197,27.47207622,-13657.070006210937,,,,,,,Capital Cities of the World
Settlement,Sucre (Capital of Bolivia),,-65.25960424,-19.03596524,-16388.29561546875,,,,,,,Capital Cities of the World
Settlement,Sarajevo (Capital of Bosnia and Herzegovina),,18.41688217,43.85617233,6255.820166660156,,,,,,,Capital Cities of the World
Settlement,Gaborone (Capital of Botswana),,25.9023127,-24.65573568,-16908.685219042967,,,,,,,Capital Cities of the World
Settlement,BrasÃ­lia (Capital of Brazil),,-47.8833095,-15.80084613,-11754.670606884765,,,,,,,Capital Cities of the World
Settlement,Bandar Seri Begawan (Capital of Brunei),,4.892954189,114.9415716,36.475349827537535,,,,,,,Capital Cities of the World
Settlement,Sofia (Capital of Bulgaria),,23.32585167,42.68807558,3151.9222517211915,,,,,,,Capital Cities of the World
