Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Bella Coola Airport,CYBD,52.3877487,-126.587326,136.2538194,,,World Update 11 Canada,,,,
Airport,Dawson City Airport,CYDA,64.0447483,-139.1259766,1112.20476,,,World Update 11 Canada,,,,
Airport,Deer Lake Regional Airport,CYDF,49.2098498,-57.3994042,42.65092,,,World Update 11 Canada,,,,
Airport,Iqaluit International Airport,CYFB,63.7570222,-68.5450017,91.16639907,,,World Update 11 Canada,,,,
Airport,West Kootenay Regional Airport,CYCG,49.3006293,-117.6367223,1601.04992,,,World Update 11 Canada,,,,
Building,A. Murray MacKay Bridge,,44.677767,-63.612058,0,,,World Update 11 Canada,,,,
Building,Absolute World Towers,,43.594706,-79.635533,481.1776683,,,World Update 11 Canada,,,,
Building,Alex Fraser Bridge,,49.160261,-122.942978,3.28084,,,World Update 11 Canada,,,,
Building,Ambassador Bridge,,42.312053,-83.074136,570.2231682,,,World Update 11 Canada,,,,
Building,Angus L. Macdonald Bridge,,44.662869,-63.585419,0,,,World Update 11 Canada,,,,
Building,Banff Springs Hotel,,51.164272,-115.561764,4611.486147,,,World Update 11 Canada,,,,
Building,Basilique Notre-Dame (Montreal - Canada),,45.504536,-73.556253,68.2661624,,,World Update 11 Canada,,,,
Building,Big Nickel,,46.47345,-81.033703,956.2526218,,,World Update 11 Canada,,,,
Building,Biodôme,,45.5597,-73.549506,84.65693962,,,World Update 11 Canada,,,,
Building,Bishop's Falls Trestle Bridge,,49.008019,-55.489917,29.52756,,,World Update 11 Canada,,,,
Building,Bloedel Conservatory,,49.242075,-123.113853,410.9518428,,,World Update 11 Canada,,,,
Building,Burrard Street Bridge,,49.275378,-123.137258,0,,,World Update 11 Canada,,,,
Building,Burton Bridge,,45.864803,-66.451347,3.28084,,,World Update 11 Canada,,,,
Building,Cabot Tower,,47.569956,-52.681956,467.0380068,,,World Update 11 Canada,,,,
Building,"CAM-Main Radar Site, Cambridge Bay",,69.116389,-105.120086,3.28084,,,World Update 11 Canada,,,,
Building,Canadian High Arctic Research Station,,69.1211174,-105.0422519,0.656735848,,,World Update 11 Canada,,,,
Building,Canadian Museum for Human Rights,,49.890731,-97.130731,757.338881,,,World Update 11 Canada,,,,
Building,Cardston Alberta Temple,,49.198261,-113.309239,3779.52768,,,World Update 11 Canada,,,,
Building,Carleton Martello Tower National Historic Site,,45.252053,-66.076317,208.4942131,,,World Update 11 Canada,,,,
Building,Château Frontenac,,46.811903,-71.205236,189.0163407,,,World Update 11 Canada,,,,
Building,Chateau Lake Louise,,51.418031,-116.216172,5777.55924,,,World Update 11 Canada,,,,
Building,Cloudraker Skybridge,,50.059578,-122.958739,7056.238595,,,World Update 11 Canada,,,,
Building,Columbia Icefield Skywalk,,52.259631,-117.277936,6342.746407,,,World Update 11 Canada,,,,
Building,Commonwealth Stadium,,53.559706,-113.476119,2138.203166,,,World Update 11 Canada,,,,
Building,Confederation Bridge,,46.207736,-63.754928,-60.38153459,,,World Update 11 Canada,,,,
Building,Craigdarroch Castle,,48.422633,-123.343633,185.4163077,,,World Update 11 Canada,,,,
Building,David Dunlap Observatory,,43.86248767,-79.42243239,780.0237149,,,World Update 11 Canada,,,,
Building,Deh Cho Bridge,,61.264728,-117.525528,511.81104,,,World Update 11 Canada,,,,
Building,Esplanade Riel Bridge,,49.890683,-97.127181,734.90816,,,World Update 11 Canada,,,,
Building,First Nations University of Canada,,50.419342,-104.582119,1889.76384,,,World Update 11 Canada,,,,
Building,Fogo Island,,49.730431,-54.178297,64.48470595,,,World Update 11 Canada,,,,
Building,Fortress of Louisbourg National Historic Site,,45.890953,-59.9861,36.08924,,,World Update 11 Canada,,,,
Building,Great Wolf Lodge,,43.116481,-79.070703,586.3010664,,,World Update 11 Canada,,,,
Building,Habitat 67,,45.499725,-73.543469,51.73299422,,,World Update 11 Canada,,,,
Building,Halifax Citadel National Historic Site,,44.647392,-63.580533,220.1079892,,,World Update 11 Canada,,,,
Building,Hartland Covered Bridge,,46.296656,-67.530506,150.91864,,,World Update 11 Canada,,,,
Building,Hatley Park National Historic Site of Canada,,48.434414,-123.472711,82.45995302,,,World Update 11 Canada,,,,
Building,Hell's Gate Airtram,,49.781972,-121.446833,845.9543013,,,World Update 11 Canada,,,,
Building,Inco Superstack,,46.480239,-81.056394,925.19688,,,World Update 11 Canada,,,,
Building,Jacques Cartier Bridge,,45.521992,-73.542906,19.68504,,,World Update 11 Canada,,,,
Building,Legislative Assembly of British Columbia,,48.419633,-123.370214,33.16890017,,,World Update 11 Canada,,,,
Building,Lethbridge Viaduct,,49.697564,-112.868614,2696.85048,,,World Update 11 Canada,,,,
Building,Lions Gate Bridge,,49.31535,-123.138647,0,,,World Update 11 Canada,,,,
Building,Montmorency Falls Suspension Bridge,,46.890967,-71.147994,238.7574039,,,World Update 11 Canada,,,,
Building,Montreal Biosphere,,45.514083,-73.531439,19.68504,,,World Update 11 Canada,,,,
Building,Mount Royal Cross,,45.508836,-73.587922,730.711292,,,World Update 11 Canada,,,,
Building,Ocean Sciences Centre,,47.624836,-52.662542,61.69046514,,,World Update 11 Canada,,,,
Building,Olympic Stadium,,45.557861,-73.551653,94.25904483,,,World Update 11 Canada,,,,
Building,Our Lady of Victory Catholic Church,,68.357978,-133.722097,75.5972899,,,World Update 11 Canada,,,,
Building,Parliament of Canada,,45.424789,-75.699611,294.0572998,,,World Update 11 Canada,,,,
Building,Peace Bridge (Buffalo - New York - USA),,42.9069155,-78.9055856,557.4148962,,,World Update 11 Canada,,,,
Building,Pierre-Laporte Bridge,,46.745492,-71.290656,9.84252,,,World Update 11 Canada,,,,
Building,Pinawa Dam Provincial Heritage Park,,50.215328,-95.925725,838.9578359,,,World Update 11 Canada,,,,
Building,Playground Of The Gods,,49.283244,-122.936114,923.468752,,,World Update 11 Canada,,,,
Building,Prince of Wales Hotel National Historic Site,,49.058411,-113.904081,4288.698269,,,World Update 11 Canada,,,,
Building,Prince of Wales Tower National Historic Site,,44.621508,-63.569706,124.6864003,,,World Update 11 Canada,,,,
Building,Québec Bridge,,46.745872,-71.288022,9.84252,,,World Update 11 Canada,,,,
Building,R.C. Harris Water Treatment Plant,,43.673386,-79.278917,307.3866134,,,World Update 11 Canada,,,,
Building,Regina Legislature Building,,50.432481,-104.615178,1883.20216,,,World Update 11 Canada,,,,
Building,Rogers Place Arena,,53.546975,-113.497822,2185.16159,,,World Update 11 Canada,,,,
Building,S.S. Klondike National Historic Site,,60.713386,-135.047653,2099.7376,,,World Update 11 Canada,,,,
Building,Saint Jude's Anglican Cathedral,,63.747653,-68.516103,63.10718468,,,World Update 11 Canada,,,,
Building,Samuel De Champlain bridge,,45.469336,-73.51425,22.96588,,,World Update 11 Canada,,,,
Building,Seal Island Bridge,,46.232783,-60.489906,0,,,World Update 11 Canada,,,,
Building,Skylon Tower,,43.085122,-79.079694,663.0922765,,,World Update 11 Canada,,,,
Building,Spirit Catcher,,44.386394,-79.689311,718.8316635,,,World Update 11 Canada,,,,
Building,St Thomas Anglican Church,,47.57193936,-52.70256382,94.11563073,,,World Update 11 Canada,,,,
Building,The Longitudinal Centre of Canada,,49.772036,-96.817636,795.6341875,,,World Update 11 Canada,,,,
Building,The One,,43.669867,-79.387006,382.3579825,,,World Update 11 Canada,,,,
Building,Thousand Islands Bridge,,44.359828,-75.980611,274.8852415,,,World Update 11 Canada,,,,
Building,World's Largest Axe,,45.994128,-67.232903,150.91864,,,World Update 11 Canada,,,,
Landform,Alexandra Bridge,,45.429992,-75.703931,145.2220878,,,World Update 11 Canada,,,,
Landform,Diavik Diamond Mine,,64.495781,-110.241167,1367.748334,,,World Update 11 Canada,,,,
Landform,Georges Island National Historic Site,,44.64085,-63.559119,73.09861304,,,World Update 11 Canada,,,,
Landform,L'Anse aux Meadows National Historic Site,,51.596461,-55.533247,27.52248785,,,World Update 11 Canada,,,,
Landform,Trent-Severn Waterway National Historic Site,,44.307881,-78.300589,669.8465436,,,World Update 11 Canada,,,,
Lighthouse,Cape Bonavista Lighthouse Provincial Historic Site,,48.701472,-53.085625,61.73490737,,,World Update 11 Canada,,,,
Lighthouse,Cape Enrage Lighthouse,,45.594986,-64.780208,90.42393481,,,World Update 11 Canada,,,,
Lighthouse,Cape Forchu Lighthouse,,43.794133,-66.155342,39.67932017,,,World Update 11 Canada,,,,
Lighthouse,Cape Spear Lighthouse National Historic Site,,47.521183,-52.622483,169.1516545,,,World Update 11 Canada,,,,
