Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Gisborne Airport,NZGS,-38.6618967,177.9821315,16.4042,,,World Update 12 New Zealand,,,,
Airport,Gorge River Airstrip,NZQE,-44.1846798,168.192489,9.288640301,,,World Update 12 New Zealand,,,,
Airport,Lake Tekapo Airport,NZTL,-44.0024103,170.4414977,2493.4384,,,World Update 12 New Zealand,,,,
Airport,Martins Bay Aerodrome,NZMJ,-44.3685689,168.0147383,0,,,World Update 12 New Zealand,,,,
Airport,Milford Sound Airport,NZMF,-44.6736719,167.9241865,8.442593016,,,World Update 12 New Zealand,,,,
Airport,Quintin Lodge,T004,-44.7915056,167.7528727,809.9218813,,,World Update 12 New Zealand,,,,
Airport,Rotorua Regional Airport,NZRO,-38.1085239,176.3157475,935.0394,,,World Update 12 New Zealand,,,,
Airport,Westport-Carters Beach Airport,NZWS,-41.7387998,171.5772851,6.56168,,,World Update 12 New Zealand,,,,
Airport,Whangarei Airport,NZWR,-35.769687,174.3632507,111.54856,,,World Update 12 New Zealand,,,,
Building,Akaroa Dolphins Cruise,,-43.8097,172.953214,0,,,World Update 12 New Zealand,,,,
Building,Akaroa St Patrick's Catholic Church,,-43.802669,172.970031,49.23721469,,,World Update 12 New Zealand,,,,
Building,Akaroa Waterfront,,-43.809044,172.960175,0,,,World Update 12 New Zealand,,,,
Building,Auckland Harbour Bridge,,-36.829319,174.746453,0,,,World Update 12 New Zealand,,,,
Building,Auckland War Memorial Museum,,-36.860272,174.777808,200.13124,,,World Update 12 New Zealand,,,,
Building,Balclutha Road Bridge,,-46.235558,169.745044,6.70319645,,,World Update 12 New Zealand,,,,
Building,Beehive,,-41.278444,174.776608,42.65092,,,World Update 12 New Zealand,,,,
Building,Big Lemon and Paeroa Bottle,,-37.383192,175.674333,91.60075894,,,World Update 12 New Zealand,,,,
Building,ChristChurch Cathedral,,-43.530936,172.637219,13.12336,,,World Update 12 New Zealand,,,,
Building,Church of the Good Shepherd,,-44.003328,170.482408,2316.269235,,,World Update 12 New Zealand,,,,
Building,Cromwell Big Fruit Sculpture,,-45.035511,169.197297,675.85304,,,World Update 12 New Zealand,,,,
Building,Dunedin Law Courts,,-45.875481,170.507417,11.83697205,,,World Update 12 New Zealand,,,,
Building,Dunedin Railway Station,,-45.875381,170.508833,0,,,World Update 12 New Zealand,,,,
Building,Durie Hill Memorial Tower,,-39.936939,175.061531,265.74804,,,World Update 12 New Zealand,,,,
Building,Edith Cavell Bridge,,-44.988258,168.671942,1175.46676,,,World Update 12 New Zealand,,,,
Building,First Church Of Otago,,-45.876011,170.504717,62.39325555,,,World Update 12 New Zealand,,,,
Building,Fo Guang Shan Temple,,-36.957203,174.911217,75.45932,,,World Update 12 New Zealand,,,,
Building,Forsyth Barr Stadium,,-45.869453,170.524428,0,,,World Update 12 New Zealand,,,,
Building,Hobbiton Movie Set,,-37.858058,175.680892,472.9901363,,,World Update 12 New Zealand,,,,
Building,Hopwood Clock Tower,,-40.356469,175.611317,114.8294,,,World Update 12 New Zealand,,,,
Building,Huntly Power Station,,-37.544411,175.149806,65.09564575,,,World Update 12 New Zealand,,,,
Building,Invercargill Water Tower,,-46.4075,168.360744,141.07612,,,World Update 12 New Zealand,,,,
Building,Kawarau Gorge Suspension Bridge,,-45.008933,168.900067,992.8044314,,,World Update 12 New Zealand,,,,
Building,Kerikeri Mission Station,,-35.217572,173.962442,19.49859166,,,World Update 12 New Zealand,,,,
Building,Lake Wakatipu,,-45.051556,168.638069,807.08664,,,World Update 12 New Zealand,,,,
Building,Larnach Castle,,-45.861619,170.627244,984.6165489,,,World Update 12 New Zealand,,,,
Building,Majestic Centre,,-41.288483,174.774656,29.52756,,,World Update 12 New Zealand,,,,
Building,Mohaka Viaduct,,-39.068511,177.125853,88.58268,,,World Update 12 New Zealand,,,,
Building,Mount Cargill Transmitter,,-45.813178,170.555286,2185.551671,,,World Update 12 New Zealand,,,,
Building,Mount John Observatory,,-43.985244,170.464092,3352.542694,,,World Update 12 New Zealand,,,,
