Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Adi Soemarmo International Airport,WAHQ,-7.5155113,110.7561417,397.3675152,,,World Update 13 Oceania and Antarctica,,,,
Airport,Aeroport de Moorea Temae,NTTM,-17.4891395,-149.7623675,21.63558877,,,World Update 13 Oceania and Antarctica,,,,
Airport,Airport Mataveri,SCIP,-27.158723,-109.4300364,150.0188195,,,World Update 13 Oceania and Antarctica,,,,
Airport,Aitutaki Airport,NCAI,-18.8295273,-159.7669036,24.10961964,,,World Update 13 Oceania and Antarctica,,,,
Airport,Barking Sands Airport,PHBK,22.0352675,-159.7819574,18.75978815,,,World Update 13 Oceania and Antarctica,,,,
Airport,Bora Bora Airport,NTTB,-16.4441815,-151.7516224,22.12356622,,,World Update 13 Oceania and Antarctica,,,,
Airport,Gizo Airport,AGGN,-8.0970012,156.8631593,22.12735682,,,World Update 13 Oceania and Antarctica,,,,
Airport,Guavi Airstrip,AYGY,-6.8695641,142.7537883,239.61904,,,World Update 13 Oceania and Antarctica,,,,
Airport,Kokoda Airport,AYKO,-8.8841541,147.7312111,1237.078629,,,World Update 13 Oceania and Antarctica,,,,
Airport,Kona International Airport,PHKO,19.736916,-156.0429246,34.72593311,,,World Update 13 Oceania and Antarctica,,,,
Airport,Mwoakilloa Airports,PTMO,6.679102,159.760787,32.63675426,,,World Update 13 Oceania and Antarctica,,,,
Airport,Pingelap Airport,PTPI,6.2105806,160.7038591,28.19363304,,,World Update 13 Oceania and Antarctica,,,,
Airport,Pohnpei International Airport,PTPN,6.9853231,158.2090962,6.562051551,,,World Update 13 Oceania and Antarctica,,,,
Airport,Sapwuahfik Airport,PTNG,5.783669444,157.1671389,-2.553105397,,,World Update 13 Oceania and Antarctica,,,,
Airport,Tapini Airport,AYTI,-8.356251,146.9871261,3147.443537,,,World Update 13 Oceania and Antarctica,,,,
Building,Ala Moana Residential Towers,,21.292642,-157.848797,5.46723739,,,World Update 13 Oceania and Antarctica,,,,
Building,Ali'i Tower,,21.2820027,-157.8370741,5.480511548,,,World Update 13 Oceania and Antarctica,,,,
Building,Aliiolani Hale,,21.30545,-157.860081,11.34110832,,,World Update 13 Oceania and Antarctica,,,,
Building,Aloha Stadium,,21.372811,-157.930044,34.3787994,,,World Update 13 Oceania and Antarctica,,,,
Building,Aloha Tower,,21.30705,-157.865989,7.882254582,,,World Update 13 Oceania and Antarctica,,,,
Building,Aloha Tower Marketplace,,21.306558,-157.865656,8.376582043,,,World Update 13 Oceania and Antarctica,,,,
Building,APEC Haus,,-9.483192,147.150594,2.320372914,,,World Update 13 Oceania and Antarctica,,,,
Building,Apia Town Clock Tower,,-13.830381,-171.768481,38.74573619,,,World Update 13 Oceania and Antarctica,,,,
Building,Autograph Tower,,-6.199158,106.821244,-25.65643062,,,World Update 13 Oceania and Antarctica,,,,
Building,Basilica of St. Anthony of Padua,,-21.136858,-175.201839,23.12287958,,,World Update 13 Oceania and Antarctica,,,,
Building,Bora-Bora Pearl Beach Resort,,-16.476083,-151.772394,18.20621586,,,World Update 13 Oceania and Antarctica,,,,
Building,Borobudur Temple Compounds,,-7.607953,110.203814,870.0920243,,,World Update 13 Oceania and Antarctica,,,,
