Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Karlovy Vary Airport,LKKV,50.2033347,12.9142028,1975.848244,,,World Update 14 Central Eastern Europe,,,,
Airport,Pecs-Pogany Airport,LHPP,45.9890722,18.2421542,634.5334093,,,World Update 14 Central Eastern Europe,,,,
Airport,Poprad-Tatry Airport,LZTT,49.072775,20.2416742,2304.144906,,,World Update 14 Central Eastern Europe,,,,
Airport,Prijedor Urije Airport,LQPD,44.9930942,16.7353558,546.6328193,,,World Update 14 Central Eastern Europe,,,,
Airport,Rijeka International Airport,LDRI,45.2163522,14.5710081,269.4701984,,,World Update 14 Central Eastern Europe,,,,
Airport,Zagorje ob Savi Airport,LJZA,46.1427775,14.9989244,1085.922296,,,World Update 14 Central Eastern Europe,,,,
Building,Avaz Twist Tower,,43.860775,18.401836,1789.49517,,,World Update 14 Central Eastern Europe,,,,
Building,Baščaršija,,43.860044,18.4313,1804.404329,,,World Update 14 Central Eastern Europe,,,,
Building,Betliar Manor House,,48.7063,20.510353,1169.604542,,,World Update 14 Central Eastern Europe,,,,
Building,Bled Castle,,46.369736,14.100261,1829.841252,,,World Update 14 Central Eastern Europe,,,,
Building,Bojnice Castle,,48.779961,18.577789,1014.032071,,,World Update 14 Central Eastern Europe,,,,
Building,Bouzov Castle,,49.705039,16.889481,1381.699914,,,World Update 14 Central Eastern Europe,,,,
Building,Bratislava Castle,,48.142353,17.100128,669.5836199,,,World Update 14 Central Eastern Europe,,,,
Building,Brčko City Hall,,44.878153,18.809675,304.8068117,,,World Update 14 Central Eastern Europe,,,,
Building,Brdo Castle,,46.273094,14.377083,1361.5486,,,World Update 14 Central Eastern Europe,,,,
Building,Brod Fortress,,45.156447,18.007019,288.001743,,,World Update 14 Central Eastern Europe,,,,
Building,Čachtice Castle,,48.725069,17.761119,1196.950215,,,World Update 14 Central Eastern Europe,,,,
Building,Cairn of Milan Rastislav Štefánik,,48.679381,17.563764,1710.658691,,,World Update 14 Central Eastern Europe,,,,
Building,Calvary Banská Štiavnica,,48.461803,18.913678,2269.731129,,,World Update 14 Central Eastern Europe,,,,
Building,Castle of Siklós,,45.852322,18.295739,396.5671546,,,World Update 14 Central Eastern Europe,,,,
Building,Castle Sevnica,,46.007992,15.31405,787.8274744,,,World Update 14 Central Eastern Europe,,,,
Building,Church of Assumption of our Lady and St John the Baptist,,49.959828,15.290361,714.1992092,,,World Update 14 Central Eastern Europe,,,,
Building,Church of St. Nicholas,,44.230858,15.178525,3.436614632,,,World Update 14 Central Eastern Europe,,,,
Building,Church of the Assumption,,46.362389,14.0902,1559.593871,,,World Update 14 Central Eastern Europe,,,,
Building,Clock Tower,,43.864139,18.428122,1940.654306,,,World Update 14 Central Eastern Europe,,,,
Building,Diana Observation Tower,,50.218747,12.871592,1808.377221,,,World Update 14 Central Eastern Europe,,,,
Building,Dubovac Castle,,45.495178,15.527989,548.7638934,,,World Update 14 Central Eastern Europe,,,,
Building,Esztergom Basilica,,47.799203,18.7366,493.3994681,,,World Update 14 Central Eastern Europe,,,,
Building,Fortress Kamerlengo,,43.515236,16.247164,2.786094055,,,World Update 14 Central Eastern Europe,,,,
Building,Füzér Castle,,48.541753,21.459344,1641.606561,,,World Update 14 Central Eastern Europe,,,,
Building,Gallery 11/07/95,,43.865036,18.425717,1900.168652,,,World Update 14 Central Eastern Europe,,,,
Building,Gazi Husrev-beg Mosque,,43.864747,18.428433,1957.652638,,,World Update 14 Central Eastern Europe,,,,
Building,Hamze Hume,,43.85595,18.413169,1752.190633,,,World Update 14 Central Eastern Europe,,,,
Building,Hercegovačka Gračanica,,42.710706,18.359881,1286.543439,,,World Update 14 Central Eastern Europe,,,,
Building,Hluboká Castle,,49.051261,14.441422,1394.806453,,,World Update 14 Central Eastern Europe,,,,
Building,Hungarian Parliament Building,,47.507111,19.045642,345.1299152,,,World Update 14 Central Eastern Europe,,,,
Building,Ještěd Television Tower,,50.732669,14.984614,3217.893088,,,World Update 14 Central Eastern Europe,,,,
Building,Kamzík Tower,,48.182408,17.094428,1410.319156,,,World Update 14 Central Eastern Europe,,,,
Building,Karlštejn Castle,,49.939439,14.188061,896.6134826,,,World Update 14 Central Eastern Europe,,,,
