Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Akureyri Airport,BIAR,65.65472786,-18.07560954,18.00961439,,,World Update 15 Nordics and Greenland,,,,
Airport,Ivalo Airport,EFIV,68.60849326,27.41976628,475.7218,,,World Update 15 Nordics and Greenland,,,,
Airport,Kiruna Airport,ESNQ,67.82072512,20.33310848,1479.364177,,,World Update 15 Nordics and Greenland,,,,
Airport,Leknes Airport,ENLK,68.153621,13.61450602,65.6168,,,World Update 15 Nordics and Greenland,,,,
Airport,Mo i Rana Airport,ENRA,66.36462425,14.30327062,222.4608115,,,World Update 15 Nordics and Greenland,,,,
Building,Aalborg Tower,,57.041794,9.904483,163.9715633,,,World Update 15 Nordics and Greenland,,,,
Building,Älvsborg Bridge,,57.690842,11.901678,0,,,World Update 15 Nordics and Greenland,,,,
Building,Arctic Bath,,66.088189,20.936603,62.33596,,,World Update 15 Nordics and Greenland,,,,
Building,Arctic Space Centre (FMI-ARC),,67.363753,26.630586,569.5599515,,,World Update 15 Nordics and Greenland,,,,
Building,Arctic Station,,69.253303,-53.517222,77.41269412,,,World Update 15 Nordics and Greenland,,,,
Building,Askøy Bridge,,60.396314,5.214658,0,,,World Update 15 Nordics and Greenland,,,,
Building,Aurora Sky Station,,68.361753,18.723389,2962.792959,,,World Update 15 Nordics and Greenland,,,,
Building,Bjørnøya Meteorological Station,,74.503875,18.997917,2.846894315,,,World Update 15 Nordics and Greenland,,,,
Building,Bosjökloster Castle & Gardens,,55.877275,13.518442,215.8631872,,,World Update 15 Nordics and Greenland,,,,
Building,Carlsten Fortress,,57.886072,11.578606,124.1710908,,,World Update 15 Nordics and Greenland,,,,
Building,Church of Stykkisholmskirkja,,65.073931,-22.721786,12.30958996,,,World Update 15 Nordics and Greenland,,,,
Building,Djuro Bridge,,59.293778,18.667806,0,,,World Update 15 Nordics and Greenland,,,,
Building,Dye-3,,65.182444,-43.818322,8113.51732,,,World Update 15 Nordics and Greenland,,,,
Building,EastGRIP,,75.632922,-35.983906,8736.87692,,,World Update 15 Nordics and Greenland,,,,
Building,Ekenäs Castle,,58.381997,15.945811,227.0681098,,,World Update 15 Nordics and Greenland,,,,
Building,Engelsberg Ironworks,,59.967581,16.010478,289.2690035,,,World Update 15 Nordics and Greenland,,,,
Building,Farø Island Bridges,,54.943172,11.974239,0,,,World Update 15 Nordics and Greenland,,,,
Building,Fredensborg Palace,,55.982017,12.39575,128.7415563,,,World Update 15 Nordics and Greenland,,,,
Building,Gjemnessund Bridge,,62.971433,7.779689,0,,,World Update 15 Nordics and Greenland,,,,
Building,Gråsten Palace,,54.925708,9.595389,11.70871724,,,World Update 15 Nordics and Greenland,,,,
Building,Great Belt Bridge,,55.332647,10.96755,2.953433123,,,World Update 15 Nordics and Greenland,,,,
Building,Grimeton Radio Station,,57.113928,12.404428,115.0637135,,,World Update 15 Nordics and Greenland,,,,
Building,Gripsholm Castle,,59.255867,17.219936,23.73358785,,,World Update 15 Nordics and Greenland,,,,
Building,Hålogaland Bridge,,68.459403,17.481761,0,,,World Update 15 Nordics and Greenland,,,,
Building,Hanko Water Tower,,59.8249,22.970608,60.80950534,,,World Update 15 Nordics and Greenland,,,,
Building,Himmelbjerg Tower,,56.105106,9.685089,479.9134616,,,World Update 15 Nordics and Greenland,,,,
Building,Imagine Peace Tower,,64.163247,-21.859211,4.355835616,,,World Update 15 Nordics and Greenland,,,,
Building,Isfjord Radio Adventure Hotel,,78.061978,13.615989,7.049580015,,,World Update 15 Nordics and Greenland,,,,
Building,Jätkänkynttilä Bridge,,66.502858,25.742703,246.063,,,World Update 15 Nordics and Greenland,,,,
Building,Kalmar Castle,,56.657978,16.355464,19.86766175,,,World Update 15 Nordics and Greenland,,,,
Building,Kärkisten Silta,,61.996283,25.674164,259.18636,,,World Update 15 Nordics and Greenland,,,,
Building,Kökar Church,,59.947883,20.877792,30.99084313,,,World Update 15 Nordics and Greenland,,,,
