Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,A.N.R. Robinson International Airport,TTCP,11.15282658,-60.83987951,36.15130705,,,World Update 16 Caribbean,,,,
Airport,Gregorio Luperón International Airport,MDPP,19.75545059,-70.56336958,42.26378391,,,World Update 16 Caribbean,,,,
Airport,Haiti’s Antoine-Simon Airport,MTCA,19.75525913,-70.56343073,42.62135234,,,World Update 16 Caribbean,,,,
Airport,Jamaica’s Sangster International Airport,MKJS,18.49900707,-77.917956,7.457498729,,,World Update 16 Caribbean,,,,
Airport,Les Saintes Airport,TFFS4,15.86491885,-61.5798561,31.85581137,,,World Update 16 Caribbean,,,,
Airport,North Eleuthera Airport,MYEH,25.47664722,-76.68260228,19.64297257,,,World Update 16 Caribbean,,,,
Airport,Vilo Acuña,MUCL,21.62358476,-81.55347572,24.94044428,,,World Update 16 Caribbean,,,,
Building,Alto Vista Chapel,,12.575967,-70.010961,103.7197572,,,World Update 16 Caribbean,,,,
Building,Atlantis Bahamas,,25.084275,-77.323678,44.9354081,,,World Update 16 Caribbean,,,,
Building,Breezy Palms,,26.500914,-76.979044,27.6691716,,,World Update 16 Caribbean,,,,
Building,Brimstone Hill Fortress,,17.347633,-62.836044,672.1161885,,,World Update 16 Caribbean,,,,
Building,Cabo Rojo Lighthouse,,17.933611,-67.192261,76.19588325,,,World Update 16 Caribbean,,,,
Building,Castillo San Cristóbal,,18.467456,-66.109297,90.34125174,,,World Update 16 Caribbean,,,,
Building,Cathedral Basilica of Our Lady of Altagracia,,18.615564,-68.716961,354.7242546,,,World Update 16 Caribbean,,,,
Building,Cathedral of Our Lady of the Assumption,,13.157417,-61.229086,38.56525457,,,World Update 16 Caribbean,,,,
Building,Cathedral of Our Lady of the Assumption in Cap-Haïtien,,19.760697,-72.200975,25.1816538,,,World Update 16 Caribbean,,,,
Building,Church and Convent of Los Dominicos,,18.471108,-69.88515,50.28202313,,,World Update 16 Caribbean,,,,
Building,Church of Saint-Michael,,14.614703,-60.903025,39.46184613,,,World Update 16 Caribbean,,,,
Building,Citadelle Laferrière,,19.572389,-72.243606,2752.914917,,,World Update 16 Caribbean,,,,
Building,City of la Asunción Gymnasium,,11.025103,-63.8579,144.3972471,,,World Update 16 Caribbean,,,,
Building,Colbeck Castle,,17.952236,-77.131556,166.6288229,,,World Update 16 Caribbean,,,,
Building,Communications Tower,,17.634572,-63.237614,2745.603514,,,World Update 16 Caribbean,,,,
Building,Cooper's Castle,,26.501822,-78.67565,52.62180432,,,World Update 16 Caribbean,,,,
Building,Energy LP Storage Terminal,,17.503994,-62.996522,505.6322815,,,World Update 16 Caribbean,,,,
Building,"Faro Holandés, Los Roques",,11.951989,-66.676547,158.6827882,,,World Update 16 Caribbean,,,,
Building,Faro Punta Ballenas,,10.997558,-63.777664,62.397273,,,World Update 16 Caribbean,,,,
Building,Félix Sánchez Olympic Stadium,,18.480433,-69.918697,160.6252551,,,World Update 16 Caribbean,,,,
Building,Fort Beekenburg,,12.072425,-68.862156,23.54429695,,,World Update 16 Caribbean,,,,
Building,"Fort Charlotte, Saint Vincent",,13.157847,-61.242261,506.9718811,,,World Update 16 Caribbean,,,,
Building,Fort Fincastle,,25.073611,-77.338492,90.07566845,,,World Update 16 Caribbean,,,,
Building,Fort Frederick,,12.047936,-61.737258,681.8472212,,,World Update 16 Caribbean,,,,
Building,Fort Louis,,18.070769,-63.085286,92.45925358,,,World Update 16 Caribbean,,,,
Building,Fort Napoléon des Saintes,,15.87525,-61.582311,330.9520567,,,World Update 16 Caribbean,,,,
Building,Fort Oranje,,17.481956,-62.986539,114.9733397,,,World Update 16 Caribbean,,,,
Building,Fort Shirley,,15.583389,-61.473556,160.1546757,,,World Update 16 Caribbean,,,,
Building,Fortín de San Jerónimo del Boquerón,,18.462836,-66.084203,0,,,World Update 16 Caribbean,,,,
Building,Fortín San Juan de la Cruz,,18.466347,-66.136411,0,,,World Update 16 Caribbean,,,,
Building,Government House,,25.075733,-77.344603,67.24133794,,,World Update 16 Caribbean,,,,
Building,Government of the Virgin Islands Administration Complex,,18.421739,-64.61635,29.58583488,,,World Update 16 Caribbean,,,,
Building,Handelskade,,12.106092,-68.934008,25.9694614,,,World Update 16 Caribbean,,,,
Building,Hotel Hesperia Isla Margarita,,11.128853,-63.916867,50.87076372,,,World Update 16 Caribbean,,,,
Building,Iglesia Sagrado Corazon de Jesus Moca,,19.393011,-70.524156,613.0547106,,,World Update 16 Caribbean,,,,
Building,King's House Jamaica,,18.023167,-76.784069,368.6082262,,,World Update 16 Caribbean,,,,
Building,Monasterio de San Francisco,,18.4768,-69.885994,77.24919904,,,World Update 16 Caribbean,,,,
Building,Montego Bay Convention Centre,,18.52005,-77.821053,69.66648049,,,World Update 16 Caribbean,,,,
Building,Monument to the Heroes of the Restoration,,19.450894,-70.694708,745.7023018,,,World Update 16 Caribbean,,,,
Building,Morgan Lewis Windmill,,13.268442,-59.574653,212.989874,,,World Update 16 Caribbean,,,,
Building,Museo Castillo Serrallés,,18.018706,-66.619281,319.5249104,,,World Update 16 Caribbean,,,,
Building,National Museum of Montserrat,,16.8003,-62.201828,82.83674826,,,World Update 16 Caribbean,,,,
Building,Palacio de los Deportes Virgilio Travieso Soto,,18.474903,-69.918808,164.0170568,,,World Update 16 Caribbean,,,,
Building,Plaza de la Bandera,,18.449814,-69.975067,182.2615729,,,World Update 16 Caribbean,,,,
Building,Presidencia de la República Dominicana,,18.47445,-69.897792,127.3951233,,,World Update 16 Caribbean,,,,
Building,Puente Mauricio Báez,,18.500547,-69.337783,3.28084,,,World Update 16 Caribbean,,,,
Building,Queen Emma Bridge,,12.106086,-68.935389,6.756259447,,,World Update 16 Caribbean,,,,
Building,Queen Juliana Bridge,,12.111228,-68.931961,20.93678138,,,World Update 16 Caribbean,,,,
Building,Queen of The Holy Rosary Church,,17.639008,-63.229653,1264.741693,,,World Update 16 Caribbean,,,,
Building,Red House,,10.653211,-61.511681,51.14525486,,,World Update 16 Caribbean,,,,
Building,Rose Hall Great House,,18.516303,-77.819194,182.2983557,,,World Update 16 Caribbean,,,,
Building,Roussel-Trianon Plantation,,15.897686,-61.323089,17.42363501,,,World Update 16 Caribbean,,,,
Building,Sacré-Coeur de Balata,,14.649156,-61.078894,899.8073155,,,World Update 16 Caribbean,,,,
Building,Saint John's Cathedral,,17.122761,-61.841878,69.35729351,,,World Update 16 Caribbean,,,,
