Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Cardiff,EGFF,51.39862384,-3.339628921,206.4246146,,,World Update 17 United Kingdom & Ireland,,,,
Airport,Cork Airport,EICK,51.84920441,-8.48999951,503.0432434,,,World Update 17 United Kingdom & Ireland,,,,
Airport,Farnborough Airport,EGLF,51.28317317,-0.777392554,213.2077924,,,World Update 17 United Kingdom & Ireland,,,,
Airport,London Stansted Airport ,EGSS,51.88648722,0.241315893,326.0803077,,,World Update 17 United Kingdom & Ireland,,,,
Airport,Sumburgh Airport,EGPB,59.87788259,-1.289005818,25.84605318,,,World Update 17 United Kingdom & Ireland,,,,
Building,Arria,,55.953728,-3.997344,309.6360083,,,World Update 17 United Kingdom & Ireland,,,,
Building,Baltimore Beacon,,51.474575,-9.386533,75.4789692,,,World Update 17 United Kingdom & Ireland,,,,
Building,Barmouth Bridge,,52.716117,-4.040647,0,,,World Update 17 United Kingdom & Ireland,,,,
Building,Bodiam Castle,,51.002281,0.543525,28.04280356,,,World Update 17 United Kingdom & Ireland,,,,
Building,Boyne Viaduct,,53.716769,-6.337467,11.89121227,,,World Update 17 United Kingdom & Ireland,,,,
Building,Britannia Bridge,,53.216122,-4.185639,0,,,World Update 17 United Kingdom & Ireland,,,,
Building,Cardington's Hangars,,52.108842,-0.4219,138.2081384,,,World Update 17 United Kingdom & Ireland,,,,
Building,Carrickfergus Castle,,54.713531,-5.806217,22.64998319,,,World Update 17 United Kingdom & Ireland,,,,
Building,Castle Rushen,,54.073781,-4.652869,41.27378045,,,World Update 17 United Kingdom & Ireland,,,,
Building,Castle Ward,,54.367692,-5.580431,157.4235876,,,World Update 17 United Kingdom & Ireland,,,,
Building,Cathedral of Christ the King,,53.526625,-7.345458,338.5628285,,,World Update 17 United Kingdom & Ireland,,,,
Building,Chaine Memorial Tower,,54.854531,-5.797922,0.820093206,,,World Update 17 United Kingdom & Ireland,,,,
Building,Chatsworth House,,53.227719,-1.611708,399.2054284,,,World Update 17 United Kingdom & Ireland,,,,
Building,Claerwen Dam,,52.25925,-3.658775,1117.833892,,,World Update 17 United Kingdom & Ireland,,,,
Building,Crimple Valley Viaduct,,53.972281,-1.515131,242.8128478,,,World Update 17 United Kingdom & Ireland,,,,
Building,Dover Castle,,51.129675,1.321292,343.1071994,,,World Update 17 United Kingdom & Ireland,,,,
Building,Dunguaire Castle,,53.142258,-8.926042,4.876873702,,,World Update 17 United Kingdom & Ireland,,,,
Building,Dunluce Castle,,55.211347,-6.579358,53.41918621,,,World Update 17 United Kingdom & Ireland,,,,
Building,Glastonbury Tor,,51.144717,-2.698647,518.049472,,,World Update 17 United Kingdom & Ireland,,,,
Building,Glenarm Castle,,54.966225,-5.956283,42.98788181,,,World Update 17 United Kingdom & Ireland,,,,
Building,Guildford Cathedral,,51.241108,-0.589961,258.043753,,,World Update 17 United Kingdom & Ireland,,,,
Building,Harlech Castle,,52.859975,-4.109064,142.0948119,,,World Update 17 United Kingdom & Ireland,,,,
Building,Herstmonceux Castle,,50.869419,0.338694,39.55470109,,,World Update 17 United Kingdom & Ireland,,,,
Building,Howard Castle,,54.121242,-0.905842,251.8707266,,,World Update 17 United Kingdom & Ireland,,,,
Building,Inverness Castle,,57.476278,-4.225483,69.90011819,,,World Update 17 United Kingdom & Ireland,,,,
Building,Kessock Bridge,,57.498858,-4.22855,0,,,World Update 17 United Kingdom & Ireland,,,,
Building,Kilkenny Castle,,52.650428,-7.249267,184.579302,,,World Update 17 United Kingdom & Ireland,,,,
Building,Killyleagh Castle Towers,,54.402444,-5.654147,70.81547661,,,World Update 17 United Kingdom & Ireland,,,,
Building,Kirby Hall,,52.524072,-0.637594,295.4070369,,,World Update 17 United Kingdom & Ireland,,,,
Building,Kylemore Abbey Chapel,,53.561633,-9.889344,142.185824,,,World Update 17 United Kingdom & Ireland,,,,
Building,Lake Vyrnwy Straining Tower,,52.769842,-3.465792,857.2396981,,,World Update 17 United Kingdom & Ireland,,,,
Building,Leeds Castle,,51.248614,0.629978,200.0729682,,,World Update 17 United Kingdom & Ireland,,,,
Building,Leith Hill Tower,,51.176353,-0.371269,949.3959786,,,World Update 17 United Kingdom & Ireland,,,,
Building,Lismore Castle,,52.140681,-7.932406,103.8406498,,,World Update 17 United Kingdom & Ireland,,,,
Building,Llyn Clywedog Dam,,52.470458,-3.603533,879.8897892,,,World Update 17 United Kingdom & Ireland,,,,
Building,Lowther Hill Radar Station,,55.377631,-3.753167,2361.990136,,,World Update 17 United Kingdom & Ireland,,,,
Building,Maunsell Forts,,51.475672,0.992106,-12.91008722,,,World Update 17 United Kingdom & Ireland,,,,
Building,Menai Suspension Bridge,,53.220017,-4.163081,2.75848936,,,World Update 17 United Kingdom & Ireland,,,,
Building,Mersey Gateway Bridge,,53.352764,-2.713075,6.56168,,,World Update 17 United Kingdom & Ireland,,,,
Building,Mullard Radio Astronomy Observatory,,52.164908,0.038786,66.75338083,,,World Update 17 United Kingdom & Ireland,,,,
Building,Mussenden Temple,,55.167819,-6.810897,106.2399605,,,World Update 17 United Kingdom & Ireland,,,,
Building,Mussenden Temple and Downhill Demesne,,55.164208,-6.810525,217.5170988,,,World Update 17 United Kingdom & Ireland,,,,
Building,Newgrange,,53.694728,-6.475542,212.2325915,,,World Update 17 United Kingdom & Ireland,,,,
Building,Norton Water Tower,,53.329517,-2.671308,222.9108907,,,World Update 17 United Kingdom & Ireland,,,,
Building,Ouse Valley Viaduct,,51.0351,-0.114606,140.7685913,,,World Update 17 United Kingdom & Ireland,,,,
Building,Peace Bridge (Londendary - Northern Ireland),,54.99795672,-7.315862175,0,,,World Update 17 United Kingdom & Ireland,,,,
Building,Peel Castle,,54.226033,-4.698336,19.84487275,,,World Update 17 United Kingdom & Ireland,,,,
Building,Peel Monument,,53.643394,-2.338011,1111.492783,,,World Update 17 United Kingdom & Ireland,,,,
Building,Pembroke Castle,,51.676878,-4.920625,37.83728941,,,World Update 17 United Kingdom & Ireland,,,,
Building,Powis Castle,,52.649822,-3.160947,459.7267538,,,World Update 17 United Kingdom & Ireland,,,,
Building,Prince of Wales Bridge,,51.574181,-2.698728,-40.00209576,,,World Update 17 United Kingdom & Ireland,,,,
Building,Ribblehead Viaduct,,54.210794,-2.370708,978.3551387,,,World Update 17 United Kingdom & Ireland,,,,
Building,Ross Castle,,52.041331,-9.531806,57.80793423,,,World Update 17 United Kingdom & Ireland,,,,
Building,Royal Border Bridge,,55.772469,-2.013319,8.99770783,,,World Update 17 United Kingdom & Ireland,,,,
Building,Silver Jubilee Bridge,,53.346217,-2.7383,3.28084,,,World Update 17 United Kingdom & Ireland,,,,
Building,Skye Bridge,,57.277658,-5.741889,26.40526523,,,World Update 17 United Kingdom & Ireland,,,,
Building,Slieve Donard Hotel,,54.215742,-5.884631,31.05783499,,,World Update 17 United Kingdom & Ireland,,,,
Building,St. Albans Cathedral,,51.750436,-0.342233,346.6078351,,,World Update 17 United Kingdom & Ireland,,,,
Building,St. Canice's Cathedral,,52.656672,-7.257197,173.233606,,,World Update 17 United Kingdom & Ireland,,,,
Building,St. Colman's Cathedral,,51.851481,-8.293644,121.2484043,,,World Update 17 United Kingdom & Ireland,,,,
Building,St. David's Cathedral,,51.881947,-5.268747,119.5329794,,,World Update 17 United Kingdom & Ireland,,,,
Building,Stirling Old Bridge,,56.128572,-3.936958,20.61251333,,,World Update 17 United Kingdom & Ireland,,,,
Building,The Great Laxey Wheel,,54.238731,-4.407294,255.1331689,,,World Update 17 United Kingdom & Ireland,,,,
Building,The Italian Chapel,,58.889881,-2.889775,32.93531253,,,World Update 17 United Kingdom & Ireland,,,,
Building,The Scottish Crannog Center,,56.579508,-4.003231,364.2840765,,,World Update 17 United Kingdom & Ireland,,,,
Building,The Tamar Bridge & Royal Albert Bridge,,50.407767,-4.203536,6.56168,,,World Update 17 United Kingdom & Ireland,,,,
Building,Tynwald Hill and The Royal Chapel of St. John the Baptist,,54.203728,-4.642319,151.4641492,,,World Update 17 United Kingdom & Ireland,,,,
Building,Victoria Tower,,53.622236,-1.77225,894.3777295,,,World Update 17 United Kingdom & Ireland,,,,
Building,Wainhouse Tower,,53.712367,-1.882758,658.894157,,,World Update 17 United Kingdom & Ireland,,,,
Building,Welland Viaduct,,52.569289,-0.653633,141.1845285,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Beachy Head Lighthouse,,50.733786,0.241447,0,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Chicken Rock Lighthouse,,54.033381,-4.8333,-20.07103719,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Eddystone Lighthouse,,50.183728,-4.268086,-40.4391965,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Fastnet Lighthouse,,51.450253,-9.818917,57.28634194,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Hook Lighthouse,,52.123836,-6.929439,17.72721665,,,World Update 17 United Kingdom & Ireland,,,,
Lighthouse,Skerryvore Lighthouse,,56.323014,-7.113536,-26.24672,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Bradford,,53.79368675,-1.761276873,339.1581867,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Brighton,,50.82296095,-0.138790246,33.41850753,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Bristol,,51.45514888,-2.590265016,61.44344847,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Cardiff in Wales,,51.48330895,-3.167458835,36.37980718,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Cliffs of Moher / Liscannor,,52.97166234,-9.430573108,223.6909012,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Cork,,51.89865504,-8.478457579,17.37101553,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Dublin,,53.35038528,-6.26820245,19.51919828,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Edinburgh,,55.95346228,-3.203222056,204.8385866,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Gibraltar,,36.13832678,-5.349428824,378.8307642,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Glasgow ,,55.86062156,-4.263040965,53.11735203,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Greater London,,51.50735502,-0.138848432,55.01382483,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Heathrow,,51.47078507,-0.456692726,88.90439491,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Leeds,,53.86681882,-1.658490522,657.6264459,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Liverpool,,53.39797384,-2.937826154,145.1171586,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Newcastle,,54.97940449,-1.627156427,235.6526558,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Sunderland,,54.90881844,-1.383026941,99.12291541,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Welling,,51.4625424,0.10927893,150.2117821,,,World Update 17 United Kingdom & Ireland,,,,
Settlement,Wembley  ,,51.55815072,-0.296927346,129.3470644,,,World Update 17 United Kingdom & Ireland,,,,
