Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Bern Airport,LSZB,46.9123684,7.499143397,1667.382101,,,World Update 18 Germany Austria and Switzerland,,,,
Airport,Germany’s Munich Airport,EDDM,48.35414603,11.78842427,1464.290415,,,World Update 18 Germany Austria and Switzerland,,,,
Airport,Salzburg Airport,LOWS,47.79186447,12.99864373,1427.906412,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Aggstein Castle,,48.313597,15.421331,1532.37936,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Ahlen Water Tower,,51.741492,7.906058,278.552257,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Altenberger Cathedral,,51.055047,7.132903,315.1834143,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Altenburg Castle,,50.988361,12.439592,679.6253352,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Andreas Maurer Bridge,,48.1464,16.908044,453.7897931,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Belvedere Castle,,50.948289,11.349075,968.3530221,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Bergisel Ski Jump,,47.246883,11.399558,2368.731437,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Brienzer Rothorn Railway,,46.787144,8.044525,7512.119163,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Carolingian Westwork and Civitas Corvey,,51.778067,9.409639,306.549057,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Castle of Augustusburg at Brühl,,50.828325,6.907889,216.5307342,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Castle of Falkenlust at Brühl,,50.819761,6.929239,203.9095551,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Chamois Summit,,46.340089,7.214514,8271.179464,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Chasseral Antenna,,47.133164,7.060358,5247.618275,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Christ the King Statue,,46.273081,7.437531,4156.545537,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Contra Dam,,46.196731,8.848456,1489.307722,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Detmold Princely Residence Castle,,51.936269,8.877703,446.2904585,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Dobratsch Transmitter,,46.603211,13.673036,6966.301448,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Edersee Dam,,51.183442,9.058589,751.0951425,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Ehrenberg Castle,,47.465567,10.717808,3502.715616,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Emosson Lake Dam,,46.067511,6.932314,6143.135007,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Erfurt Cathedral and St. Severus Church,,50.976097,11.023225,648.4044901,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Europa Bridge,,47.201894,11.401722,2315.589999,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Euseigne Pyramids,,46.172856,7.417031,3236.275123,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Falkenstein Bridge,,46.9244,13.241225,2935.033977,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Finkenstein Castle Ruins,,46.546389,13.9031,2606.297374,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Forchtenstein Castle,,47.709689,16.331719,1613.421855,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Gaisberg Transmitter,,47.805203,13.112003,4163.171296,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Ganter Bridge,,46.296267,8.050956,4381.36718,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Geierlay Suspension Bridge,,50.089908,7.341111,839.2955518,,,World Update 18 Germany Austria and Switzerland,,,,
Building,German Weather Service Meteorological Observatory,,47.801564,11.009311,3136.806839,,,World Update 18 Germany Austria and Switzerland,,,,
Building,Ghega Brücke,,47.657225,15.805486,2564.337304,,,World Update 18 Germany Austria and Switzerland,,,,
