Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Fernando de Noronha Airport,SBFN,-3.854714155,-32.4283371,165.5118103,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Foz do Iguacu International Airport,SBFI,-25.60026741,-54.4850235,-25.60026741,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Kaieteur International Airport ,SYKA/PKSA,5.177369118,-59.48893356,1499.242188,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Saint-Laurent-du-Maroni Airport,SOOM,5.485000134,-54.0336113,8.510499001,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Santarem-Maestro Wilson Fonseca International Airport,SBSN,-2.424675941,-54.78589249,200.8858337,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Santos Dumont,SBRJ,-22.90999985,-43.16249847,8.802494049,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Airport,Zorg en Hoop Airport,SMZO,5.811076641,-55.19365692,3.645013332,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Settlement,Brasilia,,-15.800171,-47.8895555,3620.819448,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Settlement,Ouro Preto,,-20.39226191,-43.50149344,3554.201415,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Settlement,Rio de Janeiro,,-22.90906778,-43.19398857,25.86484038,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Settlement,Sao Paulo - Brazil,,-23.55217974,-46.65581269,2632.168431,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Building,Arena do Gr mio,,-29.9738594,-51.19490892,9.046193316,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Building,Amazon Tall Tower Observatory,,-2.145827321,-59.00558125,439.6628473,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Building,Amazon Theatre,,-3.130043351,-60.02368453,128.7024957,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
Building,Arena BRB Man  Garrincha,,-3.130107561,-60.02377027,128.183782,,,World Update 19 Brazil Guyana Suriname French Guiana,,,,
