Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Hachijojima Airport,RJTH,33.1153075,139.7858797,295.0780317,,,World Update 1 - Japan,,,,
Airport,Kerama Airport,ROKR,26.1690555,127.2936611,158.6745656,,,World Update 1 - Japan,,,,
Airport,Kushiro Airport,RJCK,43.0448732,144.1959822,318.6797196,,,World Update 1 - Japan,,,,
Airport,Miyako Shimojishima Airport,ROMY,24.8274754,125.1474108,41.8904398,,,World Update 1 - Japan,,,,
Airport,Nagasaki Airport,RJFU,32.913643,129.9184937,2.821186291,,,World Update 1 - Japan,,,,
Airport,Suwanosejima Airport,RJX8,29.6073388,129.7008068,341.260125,,,World Update 1 - Japan,,,,
Building,Akashi-Kaikyo-Bridge,,34.617086,135.021025,-9.389549716,,,World Update 1 - Japan,,,,
Building,Bisan-Seto-Bridge,,34.377525,133.820883,0,,,World Update 1 - Japan,,,,
Building,Chikugo-River-Lift-Bridge,,33.214797,130.362128,1.64042,,,World Update 1 - Japan,,,,
Building,Hashima-Island,,32.627328,129.73735,36.36772042,,,World Update 1 - Japan,,,,
Building,Himeji-Castle,,34.838967,134.692911,95.8454358,,,World Update 1 - Japan,,,,
Building,Hitsuishijima-Bridge,,34.405383,133.808111,9.850850571,,,World Update 1 - Japan,,,,
Building,Horyu-ji,,34.614417,135.734192,197.9836705,,,World Update 1 - Japan,,,,
Building,Ikitsuki-Bridge,,33.352994,129.438456,0,,,World Update 1 - Japan,,,,
Building,Itsukushima-Shrine,,34.296297,132.319328,10.81430415,,,World Update 1 - Japan,,,,
Building,Kanmon-Bridge,,33.962483,130.957383,3.008215034,,,World Update 1 - Japan,,,,
Building,Kobe-Tower,,34.682611,135.186769,16.10863917,,,World Update 1 - Japan,,,,
Building,Kokonoe-Yume-Otsurihashi,,33.173944,131.227053,2169.52834,,,World Update 1 - Japan,,,,
Building,Mode Gakuen Cocoon Tower,,35.691517,139.696853,138.568019,,,World Update 1 - Japan,,,,
Building,Nagasaki-Bridge,,32.91625,129.930533,3.28084,,,World Update 1 - Japan,,,,
Building,Rainbow-Bridge,,35.63675,139.763392,0,,,World Update 1 - Japan,,,,
Building,Shimotsuisetoo-Bridge,,34.430953,133.806053,0,,,World Update 1 - Japan,,,,
Building,Tatara-Bridge,,34.259622,133.063583,0,,,World Update 1 - Japan,,,,
Building,Tokyo-Gate-Bridge,,35.610406,139.826469,0,,,World Update 1 - Japan,,,,
Building,Yokohama-Bay-Bridge,,35.454392,139.673817,0,,,World Update 1 - Japan,,,,
Settlement,Sendai,,38.268195,140.869418,187.8695911,,,World Update 1 - Japan,,,,
Settlement,Takamatsu,,34.342542,134.0465405,13.12336,,,World Update 1 - Japan,,,,
Settlement,Tokushima,,34.0703652,134.5549537,11.940778,,,World Update 1 - Japan,,,,
Settlement,Tokyo,,35.6803997,139.7690174,16.4042,,,World Update 1 - Japan,,,,
Settlement,Utsunomiya,,36.5550745,139.8826209,381.7895576,,,World Update 1 - Japan,,,,
Settlement,Yokohama,,35.4436739,139.6379639,42.05170713,,,World Update 1 - Japan,,,,
