Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filenam
Airport,Hokkaido Spaceport,JP0052 ,42.49968991,143.4397028,52.27027144203186,,,World Update 20 Japan,,,,
Airport,Rishiri Airport,RJER,45.24197388,141.1875,99.86221313,,,World Update 20 Japan,,,,
Airport,Kitakyushu Airport,RJFR,33.84557343,131.0350494,20.59383392,,,World Update 20 Japan,,,,
Airport,Sado Airport,RJSD,38.06111145,138.4141693,54.63582611,,,World Update 20 Japan,,,,
Airport,Satsuma I?jima Airport,RJX7,34.206245083333336,132.6792866111111,0.0,,,World Update 20 Japan,,,,
POI,Akinada Bridge, HIROSHIMA,,34.36509891666667,136.9083966388889,11.27686749397278,,,World Update 20 Japan,,,,
Lighthouse,Anorisaki Lighthouse, SHIMA,,34.80915236111111,133.62239419444444,1150.4560623461912,,,World Update 20 Japan,,,,
Building,Bitchu Matsuyama Castle, TAKAHASHI,,36.310997638888885,138.98059397222224,680.0678801202394,,,World Update 20 Japan,,,,
History,Byakue Dai-Kannon, TAKASAKI,,41.815060527777774,141.18324905555554,105.0606958963013,,,World Update 20 Japan,,,,
Lighthouse,Cape Esan Lighthouse, ESANMISAKI-CHO,,43.38507447222222,145.81609547222223,38.56425333652496,,,World Update 20 Japan,,,,
Lighthouse,Cape Nosappu Lighthouse, NEMURO,,44.340110861111114,145.33622994444445,281.49553133422853,,,World Update 20 Japan,,,,
Lighthouse,Cape Shiretoko Lighthouse, RAUSU,,44.34030834,145.336145,268.3520966143799,,,World Update 20 Japan,,,,
Building,Crasus Dome Oita, OITA,,33.20094082,131.6576464,312.02349822723386,,,World Update 20 Japan,,,,
Building,Crasus Martial Arts Sports Center, OITA,,35.299635861111106,139.47864622222224,145.28645457214355,,,World Update 20 Japan,,,,
Lighthouse,Enoshima Sea Candle, FUJISAWA,,35.51920752777778,133.20008844444445,3.28084,,,World Update 20 Japan,,,,
POI,Eshima Ohashi Bridge, MATSUE,,36.54531877777777,138.68757605555555,1731.534597783203,,,World Update 20 Japan,,,,
POI,Fudo Bridge, NAGANOHARA,,33.593335861111115,130.35148591666666,8.50843894206047,,,World Update 20 Japan,,,,
Building,Fukuoka Tower, FUKUOKA,,35.43392972222222,136.78224161111112,1039.4608837756348,,,World Update 20 Japan,,,,
Building,Gifu Castle, GIFU,,34.192303305555555,133.0724506111111,0.0,,,World Update 20 Japan,,,,
POI,Hakata-Oshima Bridge, IMABARI,,42.35278944444445,140.9500636111111,0.0,,,World Update 20 Japan,,,,
POI,Hakucho Bridge, MURORAN,,34.89691191666667,132.06238255555556,0.0,,,World Update 20 Japan,,,,
POI,Hamada Marine Ohashi Bridge, HAMADA,,35.17335008333333,136.9547903611111,138.17333303146359,,,World Update 20 Japan,,,,
Building,Higashiyama Water-Supply Tower, KYOTO,,35.1734424,136.9547915,137.2387196560669,,,World Update 20 Japan,,,,
Building,Hotel Tateyama, TATEYAMA,,33.76896958333333,133.11337708333332,6202.237385253906,,,World Update 20 Japan,,,,
POI,Ishizuchi Shrine Chojosha, SAIJO,,34.17519013888889,132.17432052777778,705.9901005340575,,,World Update 20 Japan,,,,
Building,Iwakuni Castle, IWAKUNI,,35.40181058333333,132.68548697222224,39.5946753148651,,,World Update 20 Japan,,,,
POI,Izumo Taisha, IZUMO,,36.329902861111115,137.30242430555558,1466.9887381384278,,,World Update 20 Japan,,,,
Building,Kamioka Castle, HIDA,,34.08440508333334,129.21382427777777,75.72745643104552,,,World Update 20 Japan,,,,
Lighthouse,Kanzaki Lighthouse, KANZAKI,,36.56656186111111,137.6619493888889,4678.704118637694,,,World Update 20 Japan,,,,
POI,Kurobe Dam, KUROBE,,34.11845338888889,132.99217299999998,75.39942749885559,,,World Update 20 Japan,,,,
POI,Kurushima Kaikyo Bridge, IMABARI,,36.252647861111114,137.30504841666666,4185.526824082031,,,World Update 20 Japan,,,,
Building,Kyoto University Hida Observatory, TAKAYAMA,,35.468805805555554,137.1723675833333,590.3564601989747,,,World Update 20 Japan,,,,
POI,Maruyama Dam, GERO,,35.47471302777778,133.0506125,79.2958004611969,,,World Update 20 Japan,,,,
Building,Matsue Castle, MATSUE,,36.23880263888889,137.96950266666667,1937.8398404003906,,,World Update 20 Japan,,,,
Building,Matsumoto Castle, MATSUMOTO,,34.54619297222222,129.37287883333335,73.84214111892702,,,World Update 20 Japan,,,,
POI,Mehoro Dam, ASHORO,,43.1749114,143.9820318,585.5565496276856,,,World Update 20 Japan,,,,
POI,Mishima Skywalk, SHIZUOKA,,36.49037172222222,137.73557872222221,3460.9918375244124,,,World Update 20 Japan,,,,
