Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Barra Airport,EGPR,57.025424,-7.4494001,12.10443734,,,World Update 3 - UK & Ireland,,,,
Airport,Land's End Airport,EGHC,50.1021258,-5.6678268,406.6662405,,,World Update 3 - UK & Ireland,,,,
Airport,Liverpool John Lennon Airport,EGGP,53.3358627,-2.8550475,76.99678197,,,World Update 3 - UK & Ireland,,,,
Airport,Manchester/Barton,EGCB,53.471439,-2.389757,73.4264167,,,World Update 3 - UK & Ireland,,,,
Airport,Out Skerries Airstrip,GB-OUK,60.4251714,-0.7511349,60.29462757,,,World Update 3 - UK & Ireland,,,,
Building,100 Bishopsgate,,51.515717,-0.081514,41.7652544,,,World Update 3 - UK & Ireland,,,,
Building,Albert Bridge,,51.482261,-0.166694,0,,,World Update 3 - UK & Ireland,,,,
Building,All England Lawn Tennis Club Centre Court,,51.433753,-0.214069,82.88370608,,,World Update 3 - UK & Ireland,,,,
Building,Anfield Stadium,,53.430811,-2.960861,185.6062415,,,World Update 3 - UK & Ireland,,,,
Building,Angel of the North,,54.914125,-1.589503,292.2354814,,,World Update 3 - UK & Ireland,,,,
Building,Archbishop's Palace Maidstone,,51.271067,0.520992,27.44574647,,,World Update 3 - UK & Ireland,,,,
Building,AYKON London One,,51.484106,-0.124531,20.91279716,,,World Update 3 - UK & Ireland,,,,
Building,Balmoral Castle,,57.040506,-3.230061,940.3704646,,,World Update 3 - UK & Ireland,,,,
Building,Battersea Bridge,,51.481125,-0.172558,0,,,World Update 3 - UK & Ireland,,,,
Building,Battersea Railway Bridge,,51.473067,-0.179392,0,,,World Update 3 - UK & Ireland,,,,
Building,Blackfriars Railway Bridge,,51.509656,-0.103414,0,,,World Update 3 - UK & Ireland,,,,
Building,Blair Castle,,56.773389,-3.857261,508.4854449,,,World Update 3 - UK & Ireland,,,,
Building,Blarney Castle,,51.929053,-8.570903,135.142964,,,World Update 3 - UK & Ireland,,,,
Building,Blenheim Palace,,51.841594,-1.3612,320.4324279,,,World Update 3 - UK & Ireland,,,,
Building,British Airways i360 ,,50.821339,-0.150956,35.53635919,,,World Update 3 - UK & Ireland,,,,
Building,BT Tower,,51.521467,-0.138853,94.43483004,,,World Update 3 - UK & Ireland,,,,
Building,Buckingham Palace,,51.501064,-0.142525,22.22762717,,,World Update 3 - UK & Ireland,,,,
Building,Caernarfon Castle,,53.139411,-4.276792,35.81962675,,,World Update 3 - UK & Ireland,,,,
Building,Cannon Street Railway Bridge,,51.508319,-0.091939,14.24360665,,,World Update 3 - UK & Ireland,,,,
Building,Canterbury Cathedral,,51.279806,1.082767,37.18606562,,,World Update 3 - UK & Ireland,,,,
Building,Chelsea Bridge,,51.484517,-0.1498,0,,,World Update 3 - UK & Ireland,,,,
Building,Citigroup Center,,51.503981,-0.017875,31.69144334,,,World Update 3 - UK & Ireland,,,,
Building,Clifton Suspension Bridge,,51.454917,-2.627875,9.84252,,,World Update 3 - UK & Ireland,,,,
Building,Dublin Castle,,53.343175,-6.267389,38.01855011,,,World Update 3 - UK & Ireland,,,,
Building,Durham Cathedral,,54.773458,-1.576294,184.5511924,,,World Update 3 - UK & Ireland,,,,
Building,Eden Project,,50.360628,-4.744003,168.3688656,,,World Update 3 - UK & Ireland,,,,
Building,Edinburgh Castle,,55.948378,-3.200561,265.8394526,,,World Update 3 - UK & Ireland,,,,
