Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Altiport Megeve,LFHM,45.8202286,6.6510851,4807.090212,,,"World Update 4 - France, Benelux",,,,
Airport,Nice Cote d'Azur Airport,FLMN,43.6597689,7.2148214,10.37334475,,,"World Update 4 - France, Benelux",,,,
Airport,Rotterdam The Hague Airport,EHRD,51.9555086,4.4398832,-15.66824218,,,"World Update 4 - France, Benelux",,,,
Building,Abbey Church of Saint-Savin,,46.564339,0.865839,267.5974173,,,"World Update 4 - France, Benelux",,,,
Building,Adolphe Bridge,,49.60865,6.126767,896.4951369,,,"World Update 4 - France, Benelux",,,,
Building,Afsluitdijk,,53.027167,5.21945,-35.24093603,,,"World Update 4 - France, Benelux",,,,
Building,Allianz Riviera,,43.705092,7.192603,86.69993035,,,"World Update 4 - France, Benelux",,,,
Building,Arc de Triomphe,,48.8738,2.295039,192.516701,,,"World Update 4 - France, Benelux",,,,
Building,Arles Monuments,,43.677786,4.630811,40.7565404,,,"World Update 4 - France, Benelux",,,,
Building,Avenue des Champs-Élysées,,48.868986,2.310133,111.0378186,,,"World Update 4 - France, Benelux",,,,
Building,Basilica of Notre-Dame de Fourvière,,45.762228,4.822783,931.3160151,,,"World Update 4 - France, Benelux",,,,
Building,Belfry of Bruges,,51.208211,3.224781,25.12459291,,,"World Update 4 - France, Benelux",,,,
Building,Bourges Cathedral,,47.082347,2.398739,510.5315645,,,"World Update 4 - France, Benelux",,,,
Building,Cairn of Barnenez,,48.66765,-3.858464,141.356703,,,"World Update 4 - France, Benelux",,,,
Building,Canadian National Vimy Memorial,,50.379575,2.773889,489.8872432,,,"World Update 4 - France, Benelux",,,,
Building,Carcassonne,,43.206803,2.3641,484.3789604,,,"World Update 4 - France, Benelux",,,,
Building,Caserne Loubère,,4.938469,-52.337419,53.14756423,,,"World Update 4 - France, Benelux",,,,
Building,Cathedral Of Our Lady Antwerp,,51.220319,4.401272,25.52158802,,,"World Update 4 - France, Benelux",,,,
Building,Cathedrale Notre-Dame d'Amiens,,49.894703,2.301642,117.7180446,,,"World Update 4 - France, Benelux",,,,
Building,Cathédrale Notre-Dame de Paris,,48.852961,2.350006,112.1854693,,,"World Update 4 - France, Benelux",,,,
Building,Chartres Cathedral,,48.447817,1.487822,514.1213349,,,"World Update 4 - France, Benelux",,,,
