Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Bornholm Airport,EKRS,55.062873,14.761109,45.70274362,,,World Update 5 - Nordics,,,,
Airport,Isafjordur Airport,BIIS,66.055413,-23.1423023,23.44785631,,,World Update 5 - Nordics,,,,
Airport,Stockholm Arlanda Airport,,59.6497622,17.9237807,103.7800627,,,World Update 5 - Nordics,,,,
Airport,Svalbard Airport,ENSB,78.2460841,15.4655628,67.3322937,,,World Update 5 - Nordics,,,,
Airport,Vaasa Airport,,63.0512476,21.762713,22.96588,,,World Update 5 - Nordics,,,,
Building,Aalborg Stadium,,57.052075,9.898564,16.4042,,,World Update 5 - Nordics,,,,
Building,Amalienborg,,55.684,12.593211,10.55368087,,,World Update 5 - Nordics,,,,
Building,Arctic Cathedral,,69.648067,18.987428,65.45955637,,,World Update 5 - Nordics,,,,
Building,"Blue Water Arena, Esbjerg",,55.481922,8.439453,34.75939306,,,World Update 5 - Nordics,,,,
Building,Bolt Arena,,60.187703,24.922761,10.40062756,,,World Update 5 - Nordics,,,,
Building,Bomarsund Bridge,,60.211942,20.242314,13.56992709,,,World Update 5 - Nordics,,,,
Building,Boras Arena,,57.734419,12.934797,440.7366696,,,World Update 5 - Nordics,,,,
Building,"Brann Stadion, Bergen",,60.366972,5.357439,85.96099543,,,World Update 5 - Nordics,,,,
Building,Brøndby Stadium,,55.648944,12.418647,46.32303556,,,World Update 5 - Nordics,,,,
Building,Bryggen,,60.397417,5.323564,16.16028402,,,World Update 5 - Nordics,,,,
Building,"Ceres Park, Aarhus",,56.132031,10.196594,47.73675766,,,World Update 5 - Nordics,,,,
Building,Church of Holy Trinity,,56.031881,14.152781,27.82557669,,,World Update 5 - Nordics,,,,
Building,Copenhagen Opera House,,55.681939,12.600947,9.780218282,,,World Update 5 - Nordics,,,,
Building,Dragon Gate,,60.462386,17.415067,164.042,,,World Update 5 - Nordics,,,,
Building,Drottningholm Palace,,59.321494,17.885756,49.95926319,,,World Update 5 - Nordics,,,,
Building,Egeskov Castle,,55.176281,10.489197,205.4754458,,,World Update 5 - Nordics,,,,
Building,"Eleda Stadion, Malmö",,55.583611,12.987811,44.9041227,,,World Update 5 - Nordics,,,,
Building,Frederiksborg Castle,,55.933944,12.299578,100.6296771,,,World Update 5 - Nordics,,,,
Building,Friends Arena,,59.372683,18.000528,16.4042,,,World Update 5 - Nordics,,,,
Building,Frogner Park / Sculptures,,59.927678,10.698906,174.2054902,,,World Update 5 - Nordics,,,,
Building,Fyksesund Bridge,,60.400217,6.260942,0.198203074,,,World Update 5 - Nordics,,,,
Building,Guldfågeln Arena,,56.691261,16.314944,13.12336,,,World Update 5 - Nordics,,,,
Building,Hallgrímskirkja Church,,64.141933,-21.926911,124.3338662,,,World Update 5 - Nordics,,,,
Building,Hardanger Bridge,,60.478661,6.830108,0,,,World Update 5 - Nordics,,,,
Building,Heddal stave church,,59.579553,9.176289,82.46603551,,,World Update 5 - Nordics,,,,
Building,Helgeland Bridge,,66.038017,12.720394,0,,,World Update 5 - Nordics,,,,
Building,Helsinki Cathedral,,60.170356,24.952161,60.80145167,,,World Update 5 - Nordics,,,,
Building,Helsinki Ice Hall,,60.189464,24.922672,26.84880202,,,World Update 5 - Nordics,,,,
Building,Helsinki Olympic Stadium,,60.186953,24.927203,31.97746429,,,World Update 5 - Nordics,,,,
Building,Höga Kusten Bridge,,62.797628,17.937892,0,,,World Update 5 - Nordics,,,,
Building,Holmenkollbakken,,59.963719,10.668722,961.4447153,,,World Update 5 - Nordics,,,,
Building,"Intility Arena, Oslo",,59.917836,10.806694,301.411706,,,World Update 5 - Nordics,,,,
Building,Kiruna Church,,67.852047,20.233094,1744.03419,,,World Update 5 - Nordics,,,,
Building,Kronborg Castle,,56.038886,12.620833,27.99665298,,,World Update 5 - Nordics,,,,
Building,LEGO House,,55.730672,9.114897,199.3753968,,,World Update 5 - Nordics,,,,
Building,Lerkendal stadion,,63.412336,10.404492,86.08086178,,,World Update 5 - Nordics,,,,
Building,Men at Sea,,55.487789,8.411131,8.19196721,,,World Update 5 - Nordics,,,,
Building,Näsinneula,,61.505,23.743275,352.8727997,,,World Update 5 - Nordics,,,,
Building,Nidaros Cathedral,,63.426903,10.397017,51.81077437,,,World Update 5 - Nordics,,,,
Building,Öland Bridge,,56.678917,16.395428,0,,,World Update 5 - Nordics,,,,
Building,Olavinlinna,,61.863922,28.901108,249.34384,,,World Update 5 - Nordics,,,,
Building,Øresund Bridge,,55.574925,12.827178,-24.63850215,,,World Update 5 - Nordics,,,,
Building,Oslo Opera House,,59.907472,10.753356,12.11347659,,,World Update 5 - Nordics,,,,
