Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Flughafen Luebeck LBC,,53.8051414,10.7014331,50.05993403,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Airport,Klagenfurt Airport,,46.6500125,14.3248578,1473.309121,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Airport,St. Gallen-Altenrhein Airport,,47.4858737,9.5600178,1317.766387,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Airport,Stuttgart Airport,,48.6888123,9.1982161,1291.86339,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Aachener Cathedral,,50.774736,6.083881,567.1567423,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Abbey of Saint Gall,,47.423528,9.377494,2202.80812,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Allianz Arena,,48.218814,11.624647,1615.819507,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Autostadt,,52.432653,10.793564,201.1566026,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Bastei,,50.961736,14.072731,661.1429261,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Batiment des Forces Motrices,,46.204531,6.136564,1220.47248,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Bern Minster,,46.947236,7.451644,1749.667326,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Borussia-Park,,51.174619,6.385461,261.9780977,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Brandenburg Gate,,52.516289,13.377664,118.3461805,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Brunswick Monument,,46.208458,6.148961,1223.885383,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Castelgrande,,46.193017,9.021994,908.0965228,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Castello di Montebello,,46.191719,9.026297,991.5992473,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Castello di Sasso Corbaro,,46.188017,9.030033,1509.555054,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Chillon Castle,,46.414128,6.927583,1226.840622,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Cochem Castle,,50.142344,7.166975,482.4229017,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Deutsche Bank Park,,50.068689,8.645308,359.8347476,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Deutsches Eck,,50.364117,7.605608,221.6896619,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Drachenburg Castle,,50.668706,7.2063,672.7271408,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Drachenfels Castle,,50.664661,7.210361,960.0089473,,,"World Update 6 - Germany, Austria & Switzerland",,,,
Building,Eggenberg Palace,,47.073906,15.391358,1228.922686,,,"World Update 6 - Germany, Austria & Switzerland",,,,
