Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Longreach Airport,YLRE,-23.4377686,144.2742312,623.4585218,,,World Update 7 - Australia,,,,
Airport,Mount Beauty Airport,YMBT,-36.733863,147.16967,1116.518872,,,World Update 7 - Australia,,,,
Airport,Paraburdoo Airport,YPBO,-23.1737882,117.7478797,1394.157254,,,World Update 7 - Australia,,,,
Airport,Shellharbour Airport,YSHL,-34.560358,150.7904758,21.44070034,,,World Update 7 - Australia,,,,
Building,1 William Street,,-27.4752,153.0258,37.22808924,,,World Update 7 - Australia,,,,
Building,108 St Georges Terrace,,-31.954389,115.857197,45.14171527,,,World Update 7 - Australia,,,,
Building,443 Queen Street,,-27.464958,153.031525,38.82764956,,,World Update 7 - Australia,,,,
Building,568 Collins Street,,-37.818347,144.955436,33.77749333,,,World Update 7 - Australia,,,,
Building,Abbot Point Coal Terminal,,-19.883636,148.078439,55.9226502,,,World Update 7 - Australia,,,,
Building,Adelaide Oval,,-34.915472,138.596236,82.93205311,,,World Update 7 - Australia,,,,
Building,Albion Viaduct,,-37.747411,144.846122,24.13051256,,,World Update 7 - Australia,,,,
Building,Allianz Stadium (Sydney - Australia),,-33.88893787,151.2253413,140.7523964,,,World Update 7 - Australia,,,,
Building,Anzac Bridge,,-33.869225,151.185997,11.48294,,,World Update 7 - Australia,,,,
Building,Aurora Melbourne Central,,-37.809703,144.962344,60.79772208,,,World Update 7 - Australia,,,,
Building,Batman Bridge,,-41.217147,146.914606,0,,,World Update 7 - Australia,,,,
Building,Bolte Bridge,,-37.819383,144.932325,0,,,World Update 7 - Australia,,,,
Building,Brisbane Skytower,,-27.471839,153.028728,24.98416843,,,World Update 7 - Australia,,,,
Building,Brookfield Place,,-31.955014,115.854758,0,,,World Update 7 - Australia,,,,
Building,Canberra Deep Space Communication Complex,,-35.402439,148.98125,2086.926625,,,World Update 7 - Australia,,,,
Building,Cascade Dam,,-41.1708,147.8225,1116.736741,,,World Update 7 - Australia,,,,
Building,Central Park,,-31.953764,115.855539,44.7789154,,,World Update 7 - Australia,,,,
Building,Devils Gate Dam,,-41.350564,146.265106,387.0905352,,,World Update 7 - Australia,,,,
Building,Eureka Tower,,-37.821675,144.964592,9.235899575,,,World Update 7 - Australia,,,,
Building,Federation Square,,-37.817742,144.969206,31.70720024,,,World Update 7 - Australia,,,,
Building,Flinders Street Railway Station,,-37.817722,144.967114,26.12250611,,,World Update 7 - Australia,,,,
Building,Gladesville Bridge,,-33.842186,151.147911,3.289638334,,,World Update 7 - Australia,,,,
Building,Gordon Dam,,-42.730283,145.976111,853.985591,,,World Update 7 - Australia,,,,
Building,Hawkesbury River Rail Bridge,,-33.533756,151.228525,0,,,World Update 7 - Australia,,,,
Building,Houghton Highway Viaduct,,-27.274433,153.071097,0,,,World Update 7 - Australia,,,,
Building,Infinity Tower,,-27.467842,153.019558,47.0636538,,,World Update 7 - Australia,,,,
Building,Longitude 131° Lodge,,-25.249994,131.008344,1688.600529,,,World Update 7 - Australia,,,,
Building,Luna Park,,-33.847903,151.209842,24.4191023,,,World Update 7 - Australia,,,,
Building,Marvel Stadium,,-37.816544,144.947558,17.10754422,,,World Update 7 - Australia,,,,
Building,Melbourne Cricket Ground,,-37.819956,144.983403,24.87696454,,,World Update 7 - Australia,,,,
Building,Melbourne Square,,-37.825947,144.963625,6.919826487,,,World Update 7 - Australia,,,,
Building,Mooney Mooney Bridge,,-33.432306,151.253714,42.38121601,,,World Update 7 - Australia,,,,
Building,Murchison Radio-astronomy Observatory,,-26.696944,116.636944,1226.237879,,,World Update 7 - Australia,,,,
Building,Narrows Bridge,,-31.96335,115.846961,35.89394326,,,World Update 7 - Australia,,,,
Building,Optus Stadium,,-31.951147,115.889089,13.91105496,,,World Update 7 - Australia,,,,
Building,Parkes Observatory,,-32.998389,148.263603,1256.572433,,,World Update 7 - Australia,,,,
Building,Paul Wild Observatory,,-30.312892,149.564422,695.4622867,,,World Update 7 - Australia,,,,
Building,Peats Ferry Bridge,,-33.538083,151.199211,0,,,World Update 7 - Australia,,,,
Building,Perth Arena,,-31.948392,115.852136,35.9918263,,,World Update 7 - Australia,,,,
Building,Phillip Island Grand Prix Circuit,,-38.502586,145.232111,146.6537382,,,World Update 7 - Australia,,,,
Building,Premier Tower,,-37.8174,144.953756,38.34217049,,,World Update 7 - Australia,,,,
Building,Prima Pearl Tower,,-37.822911,144.961381,5.628280228,,,World Update 7 - Australia,,,,
Building,Queens Place North Tower,,-37.81005,144.958964,69.24772734,,,World Update 7 - Australia,,,,
Building,Rialto Towers,,-37.818742,144.957681,26.65571426,,,World Update 7 - Australia,,,,
Building,Siding Spring Observatory,,-31.275458,149.067244,3728.067112,,,World Update 7 - Australia,,,,
Building,Sir Leo Hielscher Bridges (Gateway Bridges),,-27.445319,153.101211,0,,,World Update 7 - Australia,,,,
Building,Soleil Brisbane,,-27.462342,153.032564,50.67940934,,,World Update 7 - Australia,,,,
Building,Stadium Australia,,-33.847108,151.0634,33.01497312,,,World Update 7 - Australia,,,,
Building,Story Bridge,,-27.463836,153.035736,0,,,World Update 7 - Australia,,,,
Building,Suncorp Stadium,,-27.464828,153.009572,27.64833031,,,World Update 7 - Australia,,,,
Building,Swanston Central,,-37.8062,144.961883,73.93626953,,,World Update 7 - Australia,,,,
Building,Sydney Cricket Ground,,-33.891636,151.224861,135.9728233,,,World Update 7 - Australia,,,,
Building,Sydney Harbour Bridge,,-33.852122,151.210711,11.48294,,,World Update 7 - Australia,,,,
Building,Sydney Tower,,-33.870428,151.208881,75.53057024,,,World Update 7 - Australia,,,,
Building,Tasman Bridge,,-42.864939,147.345358,0,,,World Update 7 - Australia,,,,
Building,The Big Banana Fun Park,,-30.274808,153.133936,125.6851051,,,World Update 7 - Australia,,,,
Building,The Big Merino,,-34.772506,149.691392,2215.313119,,,World Update 7 - Australia,,,,
Building,The Big Pineapple,,-26.672667,152.991325,129.2271668,,,World Update 7 - Australia,,,,
Building,The Big Prawn,,-28.863731,153.532597,16.68985331,,,World Update 7 - Australia,,,,
Building,The Gabba,,-27.485911,153.038122,25.86283792,,,World Update 7 - Australia,,,,
Building,The WACA Ground,,-31.959872,115.879578,7.839074067,,,World Update 7 - Australia,,,,
Building,Townsville Port,,-19.249217,146.834247,-0.31284016,,,World Update 7 - Australia,,,,
Building,Warragamba Dam,,-33.883125,150.595481,339.8798253,,,World Update 7 - Australia,,,,
Building,West Gate Bridge,,-37.829975,144.898906,3.28084,,,World Update 7 - Australia,,,,
Building,West Side Place,,-37.814428,144.95295,85.30184,,,World Update 7 - Australia,,,,
Landform,Bay Of Islands,,-38.581328,142.821706,0,,,World Update 7 - Australia,,,,
Landform,Green Island Jetty,,-16.757978,145.969419,-0.058178892,,,World Update 7 - Australia,,,,
Landform,South Sister Lookout Antennae,,-41.534131,148.171769,2589.777031,,,World Update 7 - Australia,,,,
Landform,Three Sisters,,-33.735725,150.314678,2379.387759,,,World Update 7 - Australia,,,,
Landform,Twelve Apostles,,-38.649894,143.067806,0.023684567,,,World Update 7 - Australia,,,,
Lighthouse,Bathurst Point Lighthouse,,-31.989356,115.540686,47.51913343,,,World Update 7 - Australia,,,,
Lighthouse,Cape Byron Lighthouse,,-28.638592,153.636364,240.8783407,,,World Update 7 - Australia,,,,
Lighthouse,Cape Cleveland Lighthouse,,-19.182964,147.015525,194.2950909,,,World Update 7 - Australia,,,,
Lighthouse,Cape Don Lighthouse,,-11.3079,131.765217,61.32054713,,,World Update 7 - Australia,,,,
Lighthouse,Cape Nelson Lighthouse,,-38.430964,141.542994,121.9197936,,,World Update 7 - Australia,,,,
Lighthouse,Cape Wickham Lighthouse,,-39.588556,143.943022,130.0275148,,,World Update 7 - Australia,,,,
Lighthouse,Gabo Island Lighthouse,,-37.568753,149.916853,26.9100149,,,World Update 7 - Australia,,,,
Lighthouse,Split Point Lighthouse,,-38.467981,144.104433,80.75550418,,,World Update 7 - Australia,,,,
Lighthouse,Wadjemup Lighthouse,,-32.007253,115.5042,157.8606634,,,World Update 7 - Australia,,,,
Lighthouse,Wilsons Promontory Lighthouse,,-39.130075,146.424478,188.775369,,,World Update 7 - Australia,,,,
Settlement,Adelaide,,-34.9284989,138.6007456,147.1990347,,,World Update 7 - Australia,,,,
Settlement,Brisbane,,-27.4704528,153.0260341,39.96056337,,,World Update 7 - Australia,,,,
Settlement,Bunbury,,-33.325636,115.6396494,5.211547145,,,World Update 7 - Australia,,,,
Settlement,Cairns,,-16.9203476,145.7709529,10.34462266,,,World Update 7 - Australia,,,,
Settlement,Darwin,,-12.4644876,130.8432001,125.8253653,,,World Update 7 - Australia,,,,
Settlement,Hobart,,-42.8826055,147.3257196,42.42667199,,,World Update 7 - Australia,,,,
Settlement,Mackay,,-21.1424956,149.1821469,32.78602244,,,World Update 7 - Australia,,,,
Settlement,Melbourne,,-37.8136276,144.9630576,33.02788277,,,World Update 7 - Australia,,,,
Settlement,Perth,,-31.9523123,115.861309,44.72264924,,,World Update 7 - Australia,,,,
Settlement,Sydney,,-33.8688197,151.2092955,80.51157881,,,World Update 7 - Australia,,,,
Settlement,Townsville,,-19.2589635,146.8169483,48.81584269,,,World Update 7 - Australia,,,,
