Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,A Coruna Airport,LECO,43.3022232,-8.3813982,308.500435,,,World Update 8 - Iberia,,,,
Airport,Andorra-La Seu d'Urgell Airport,LESU,42.3377215,1.4059228,2625.903316,,,World Update 8 - Iberia,,,,
Airport,Faro Airport,LPFR,37.0174208,-7.9715975,24.17533494,,,World Update 8 - Iberia,,,,
Airport,Pico Airport,LPPI,38.5523067,-28.4433078,121.6597233,,,World Update 8 - Iberia,,,,
Building,Alcázar de Segovia,,40.952392,-4.132525,3155.450196,,,World Update 8 - Iberia,,,,
Building,Alcazar of Toledo,,39.858117,-4.020522,1758.180409,,,World Update 8 - Iberia,,,,
Building,Aldeadávila Dam,,41.211831,-6.686069,880.0953423,,,World Update 8 - Iberia,,,,
Building,Alqueva Dam,,38.197128,-7.496181,288.1100764,,,World Update 8 - Iberia,,,,
Building,Basílica De La Sagrada Família,,41.403586,2.174347,105.6710975,,,World Update 8 - Iberia,,,,
Building,Bom Jesus do Monte,,41.554736,-8.376883,1328.18762,,,World Update 8 - Iberia,,,,
Building,Braga Cathedral,,41.549933,-8.42735,609.5517972,,,World Update 8 - Iberia,,,,
Building,Camp Nou,,41.380897,2.122822,122.6087419,,,World Update 8 - Iberia,,,,
Building,Casa da Música,,41.158797,-8.630717,282.3701583,,,World Update 8 - Iberia,,,,
Building,Casa Mila,,41.395306,2.161828,124.8741065,,,World Update 8 - Iberia,,,,
Building,Castelo dos Mouros ,,38.792964,-9.388625,1356.510296,,,World Update 8 - Iberia,,,,
Building,Castillo de Santa Bárbara,,38.348775,-0.478017,404.9219927,,,World Update 8 - Iberia,,,,
Building,Castle of Almansa,,38.87155,-1.093519,2292.782914,,,World Update 8 - Iberia,,,,
Building,Catedral de Burgos,,42.340619,-3.704653,2830.483435,,,World Update 8 - Iberia,,,,
Building,Catedral de León,,42.599519,-5.566594,2733.913519,,,World Update 8 - Iberia,,,,
Building,Catedral de Murcia,,37.984017,-1.128714,141.2077946,,,World Update 8 - Iberia,,,,
Building,Catedral-Basílica de Nuestra Señora del Pilar,,41.656747,-0.878492,661.834778,,,World Update 8 - Iberia,,,,
Building,Cathedral and Giralda in Seville,,37.385925,-5.993158,31.40596055,,,World Update 8 - Iberia,,,,
Building,Cathedral of Santiago de Compostela,,42.881128,-8.544131,869.3804481,,,World Update 8 - Iberia,,,,
Building,Christ The King,,38.678586,-9.17105,372.8574086,,,World Update 8 - Iberia,,,,
Building,City of Arts and Sciences,,39.456031,-0.352939,11.77474386,,,World Update 8 - Iberia,,,,
Building,Covão dos Conchos,,40.36405,-7.610869,5359.202879,,,World Update 8 - Iberia,,,,
Building,El Monasterio de El Escorial,,40.588981,-4.147461,3352.74274,,,World Update 8 - Iberia,,,,
Building,Episcopal Palace of Astorga,,42.457817,-6.055872,2851.72419,,,World Update 8 - Iberia,,,,
Building,Estádio Algarve,,37.088283,-7.974575,160.9307563,,,World Update 8 - Iberia,,,,
Building,Estadio Citade de Coimbra,,40.203031,-8.408706,143.9637508,,,World Update 8 - Iberia,,,,
Building,Estádio D. Afonso Henriques,,41.445942,-8.300875,554.5070155,,,World Update 8 - Iberia,,,,
Building,Estádio Da Luz,,38.752756,-9.184744,268.7725894,,,World Update 8 - Iberia,,,,
Building,Estádio Do Dragão,,41.161753,-8.58365,331.36484,,,World Update 8 - Iberia,,,,
Building,Estádio José Alvalade,,38.761169,-9.160769,268.0122782,,,World Update 8 - Iberia,,,,
Building,Estádio Municipal De Aveiro,,40.647664,-8.593656,122.1531184,,,World Update 8 - Iberia,,,,
Building,Fort of Sao Joao Baptista,,39.411333,-9.509986,6.82341558,,,World Update 8 - Iberia,,,,
Building,Freixo Bridge,,41.141933,-8.580911,0,,,World Update 8 - Iberia,,,,
Building,Guadiana International Bridge,,37.237619,-7.419936,0,,,World Update 8 - Iberia,,,,
Building,Guggenheim Museum Bilbao,,43.268578,-2.934033,26.46563645,,,World Update 8 - Iberia,,,,
Building,Hotel Arts,,41.386908,2.196228,18.33279048,,,World Update 8 - Iberia,,,,
Building,Hotel Marques de Riscal,,42.511656,-2.617708,1447.484821,,,World Update 8 - Iberia,,,,
Building,La Constitución De 1812 Bridge,,36.524022,-6.259544,0,,,World Update 8 - Iberia,,,,
Building,La ermita de San Juan de Gaztelugatxe,,43.447525,-2.784586,40.52780249,,,World Update 8 - Iberia,,,,
Building,La Vicaria Arch Bridge,,38.354703,-2.263386,1948.81896,,,World Update 8 - Iberia,,,,
Building,Les Ferreres Aqueduct,,41.145983,1.243856,117.9614568,,,World Update 8 - Iberia,,,,
Building,Leziria Bridge,,39.012886,-8.934181,0,,,World Update 8 - Iberia,,,,
Building,Lisbon Harbour Control Tower,,38.693956,-9.234278,12.06006786,,,World Update 8 - Iberia,,,,
Building,Luís I Bridge,,41.139897,-8.609428,0,,,World Update 8 - Iberia,,,,
Building,Lusitania Bridge,,38.916825,-6.353522,662.1939203,,,World Update 8 - Iberia,,,,
Building,Magma Arte & Congresos,,28.069483,-16.726997,121.8100709,,,World Update 8 - Iberia,,,,
Building,Maria Pia Bridge,,41.139825,-8.596983,0,,,World Update 8 - Iberia,,,,
Building,Metropol Parasol,,37.392969,-5.991819,26.17613464,,,World Update 8 - Iberia,,,,
Building,Mezquita-Catedral de Córdoba,,37.878892,-4.779358,355.3667458,,,World Update 8 - Iberia,,,,
Building,Molinos de Campo de Criptana,,39.409939,-3.123081,2477.535818,,,World Update 8 - Iberia,,,,
Building,Montjuic Castle,,41.363342,2.166114,602.4739816,,,World Update 8 - Iberia,,,,
Building,Monumento a Alfonso XII,,40.417314,-3.683075,2196.452694,,,World Update 8 - Iberia,,,,
Building,Museu Nacional d Art de Catalunya,,41.368406,2.153631,256.8238508,,,World Update 8 - Iberia,,,,
Building,Museum Of Art Architecture And Technology,,38.695997,-9.193717,4.603147185,,,World Update 8 - Iberia,,,,
Building,MVRDV - Mirador,,40.487669,-3.654819,2248.955346,,,World Update 8 - Iberia,,,,
Building,Observatorio Roque de los Muchachos,,28.761325,-17.890897,7175.634419,,,World Update 8 - Iberia,,,,
Building,Oceanário de Lisboa,,38.763567,-9.093775,0,,,World Update 8 - Iberia,,,,
Building,Oscar Niemeyer International Cultural Centre,,43.557433,-5.917711,11.96944924,,,World Update 8 - Iberia,,,,
Building,Palacio de Deportes de Santander,,43.475522,-3.796092,34.77289406,,,World Update 8 - Iberia,,,,
Building,Pena Palace,,38.787656,-9.390633,1435.737055,,,World Update 8 - Iberia,,,,
Building,Plaza de Espana in Seville,,37.377092,-5.986897,28.18363322,,,World Update 8 - Iberia,,,,
Building,Ponte 25 de Abril Bridge,,38.690433,-9.177325,0,,,World Update 8 - Iberia,,,,
Building,Ponte de Barcelos,,41.527433,-8.622283,19.68504,,,World Update 8 - Iberia,,,,
Building,Puente de Isabel II,,37.386289,-6.002406,5.495558984,,,World Update 8 - Iberia,,,,
Building,Puente De San Martín,,39.856622,-4.034236,1446.85044,,,World Update 8 - Iberia,,,,
Building,Rande Bridge,,42.288281,-8.660428,0,,,World Update 8 - Iberia,,,,
Building,Roman bridge of Cordoba,,37.876756,-4.778053,285.43308,,,World Update 8 - Iberia,,,,
Building,Royal Palace of Madrid,,40.418525,-3.714228,2099.506115,,,World Update 8 - Iberia,,,,
Building,San Pablo Bridge,,40.078306,-2.127517,3159.110503,,,World Update 8 - Iberia,,,,
Building,Santa Caterina Market,,41.386164,2.178497,18.54491888,,,World Update 8 - Iberia,,,,
Building,Tenerife International Center For Fairs And Congresses,,28.454578,-16.257878,73.37086079,,,World Update 8 - Iberia,,,,
Building,The Roman Aqueduct Of Segovia,,40.946492,-4.116636,3278.210362,,,World Update 8 - Iberia,,,,
Building,Third Millennium Bridge,,41.665467,-0.908347,642.8312773,,,World Update 8 - Iberia,,,,
Building,Torre Agbar,,41.403519,2.189522,30.88501281,,,World Update 8 - Iberia,,,,
Building,Torre de Hércules,,43.385922,-8.406519,161.3319754,,,World Update 8 - Iberia,,,,
Building,Torre Mapfre,,41.387797,2.197347,21.45332526,,,World Update 8 - Iberia,,,,
Building,Torre Vasco da Gama,,38.774786,-9.09125,27.21581646,,,World Update 8 - Iberia,,,,
Building,Vasco da Gama Bridge,,38.772411,-9.056831,-6.465924979,,,World Update 8 - Iberia,,,,
Building,Vizcaya Bridge,,43.323119,-3.017053,0,,,World Update 8 - Iberia,,,,
Building,W Barcelona,,41.368494,2.190078,5.064596269,,,World Update 8 - Iberia,,,,
Building,Wanda Metropolitano,,40.436133,-3.59955,2173.152402,,,World Update 8 - Iberia,,,,
Building,Zubizuri Bridge,,43.266339,-2.927814,9.84252,,,World Update 8 - Iberia,,,,
Landform,El Flysch Zumaia,,43.300917,-2.259192,119.7732253,,,World Update 8 - Iberia,,,,
Landform,El Monumento Natural de los Mallos de Riglos,,42.348567,-0.719344,2892.508412,,,World Update 8 - Iberia,,,,
Landform,Las Hurdes,,40.389392,-6.080403,1350.83751,,,World Update 8 - Iberia,,,,
Landform,Las Médulas,,42.458053,-6.758669,2614.869329,,,World Update 8 - Iberia,,,,
Landform,Playa de las Catedrales,,43.555261,-7.145142,29.79633472,,,World Update 8 - Iberia,,,,
Park,El Retiro Park,,40.416528,-3.684042,2182.561389,,,World Update 8 - Iberia,,,,
Settlement,Barreiro,,38.6608149,-9.0790724,39.45402712,,,World Update 8 - Iberia,,,,
Settlement,Bilbao,,43.2630126,-2.9349852,54.10379172,,,World Update 8 - Iberia,,,,
Settlement,Cascais,,38.6970565,-9.4222945,70.69743751,,,World Update 8 - Iberia,,,,
Settlement,Coimbra,,40.2033145,-8.4102573,131.8569926,,,World Update 8 - Iberia,,,,
Settlement,Lisbon,,38.7222524,-9.1393366,185.1721445,,,World Update 8 - Iberia,,,,
Settlement,Malaga,,36.721261,-4.4212655,34.41462164,,,World Update 8 - Iberia,,,,
