Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
Airport,Bolzano Airport,LIPB,46.4624885,11.3298598,786.6095246,,,World Update 9 Italy and Malta,,,,
Airport,Marina di Campo Airport,LIRJ,42.7628342,10.2374648,20.08856346,,,World Update 9 Italy and Malta,,,,
Airport,Palermo Airport,LICJ,38.1795458,13.0989603,49.00673087,,,World Update 9 Italy and Malta,,,,
Airport,Sondrio Airport,LILO,46.153555,9.79289,906.4284687,,,World Update 9 Italy and Malta,,,,
Building,Allianz Stadium (Turin - Italy),,45.109494,7.641306,816.7336192,,,World Update 9 Italy and Malta,,,,
Building,Arch of Constantine,,41.889778,12.490667,68.27756394,,,World Update 9 Italy and Malta,,,,
Building,Arena Di Verona,,45.438972,10.994397,199.2896787,,,World Update 9 Italy and Malta,,,,
Building,Basilica di San Petronio,,44.493328,11.343314,216.2870842,,,World Update 9 Italy and Malta,,,,
Building,Basilica di San Pietro,,41.902183,12.4544,88.05455467,,,World Update 9 Italy and Malta,,,,
Building,Basilica Di Santa Maria Assunta,,45.498233,12.419081,9.831137233,,,World Update 9 Italy and Malta,,,,
Building,Basilica San Francesco,,43.075036,12.605339,1129.809038,,,World Update 9 Italy and Malta,,,,
Building,Bigo,,44.409192,8.926733,2.674438008,,,World Update 9 Italy and Malta,,,,
Building,Biosfera,,44.409825,8.925503,0,,,World Update 9 Italy and Malta,,,,
Building,Brunico Castle,,46.794442,11.939119,2809.969774,,,World Update 9 Italy and Malta,,,,
Building,Caserta Royal Palace,,41.073183,14.327167,218.5207847,,,World Update 9 Italy and Malta,,,,
Building,Castel del Monte,,41.084739,16.271,1773.373918,,,World Update 9 Italy and Malta,,,,
Building,Castel Nuovo,,40.838344,14.253247,17.64265471,,,World Update 9 Italy and Malta,,,,
Building,Castel Savoia,,45.764064,7.826689,4733.564073,,,World Update 9 Italy and Malta,,,,
